"globalPalette"
"Quebec"	"#486090"
"British Columbia"	"plum4"
"Ontario"	"brown4"
"Alberta"	"brown3"
"Manitoba"	"darkorange1"
"Saskatchewan"	"darkorange3"
"New Brunswick"	"darkgoldenrod1"
"Newfoundland and Labrador"	"darkgoldenrod2"
"Nova Scotia"	"darkgoldenrod3"
"Prince Edward Island"	"darkgoldenrod4"
"Yukon"	"bisque1"
"Northwest Territories"	"bisque2"
"Nunavut"	"bisque4"
"Canada"	"#8b0000"
"Europe"	"#081d58"
"France"	"#253494"
"United Kingdom"	"#225ea8"
"Germany"	"#1d91c0"
"Spain"	"#41b6c4"
"Sweden"	"#7fcdbb"
"Switzerland"	"#c7e9b4"
"Denmark"	"#edf8b1"
"North America"	"#4a1486"
"USA"	"#6a51a3"
"South America"	"#807dba"
"Brazil"	"#9e9ac8"
"Asia"	"#005a32"
"India"	"#41ab5d"
"Japan"	"#addd8e"
"Africa"	"#ae017e"
"South Africa"	"#f768a1"
"Oceania"	"#fa9fb5"
