"","var.WHO","division","month","monthly_VOC_cases","total_monthly_VOC_cases","prop","date.smooth"
"1","Other","Ontario","2020-02",1.43,6.43,0.222395023328149,2020-02-01
"2","Other","Ontario","2020-03",1218,5631.2,0.216294928256855,2020-03-01
"3","Other","Ontario","2020-04",13648.42,42786.96,0.318985503994675,2020-04-01
"4","Other","Ontario","2020-05",11992.56,39920.69,0.300409637208174,2020-05-01
"5","Other","Ontario","2020-06",7657.13,14731.13,0.519792439548086,2020-06-01
"6","Other","Ontario","2020-07",4365.12,11775.5,0.370695087257441,2020-07-01
"7","Other","Ontario","2020-08",3062.17,12348.16,0.247985934746553,2020-08-01
"8","Other","Ontario","2020-09",8037.3,26312.81,0.305451983273546,2020-09-01
"9","Other","Ontario","2020-10",22985.58,72183.99,0.318430444202378,2020-10-01
"10","Other","Ontario","2020-11",38172.3457020776,133440.550062666,0.286062562573005,2020-11-01
"11","Other","Ontario","2020-12",61052.1766855963,196177.974267541,0.311208110459614,2020-12-01
"12","Other","Ontario","2021-01",74517.6727483009,189060.303048654,0.394147642559972,2021-01-01
"13","Other","Ontario","2021-02",14347.2447250699,62827.4159772721,0.228359618200118,2021-02-01
"14","Other","Ontario","2021-03",11974.1281723243,41811.7778322457,0.28638170374783,2021-03-01
"15","Other","Ontario","2021-04",22238.9633257219,51899.5389777261,0.428500209515662,2021-04-01
"16","Other","Ontario","2021-05",9102.2145252638,27236.3866765161,0.334193174497407,2021-05-01
"17","Other","Ontario","2021-06",754.489374599877,1780.64737097533,0.423716333114632,2021-06-01
"18","Other","Ontario","2021-07",53.8899377379933,156.881849578516,0.343506517055833,2021-07-01
"19","Other","Ontario","2021-08",6.36382009361681,30.7351219611944,0.207053679554344,2021-08-01
"20","Other","Ontario","2021-09",0,13.1528509669602,0,2021-09-01
"21","Other","Ontario","2021-10",0,4.9158244540787,0,2021-10-01
"22","Other","Ontario","2021-11",0,423.320515444844,0,2021-11-01
"23","Other","Ontario","2021-12",1.98946428348053,8.94439690092692,0.222425760564623,2021-12-01
"24","Other","Ontario","2022-01",0,0,0,2022-01-01
"25","Other","Ontario","2022-02",0,0,0,2022-02-01
"26","Other","Ontario","2022-03",0,0,0,2022-03-01
"27","Other","Quebec","2020-02",0,6.43,0,2020-02-01
"28","Other","Quebec","2020-03",2558.84,5631.2,0.454404034664015,2020-03-01
"29","Other","Quebec","2020-04",22420.28,42786.96,0.523997965735355,2020-04-01
"30","Other","Quebec","2020-05",24643.4,39920.69,0.617308969358997,2020-05-01
"31","Other","Quebec","2020-06",5533.73,14731.13,0.375648711266549,2020-06-01
"32","Other","Quebec","2020-07",3710.4,11775.5,0.315094900428857,2020-07-01
"33","Other","Quebec","2020-08",3264.56,12348.16,0.264376230952628,2020-08-01
"34","Other","Quebec","2020-09",9763.71,26312.81,0.371062991751926,2020-09-01
"35","Other","Quebec","2020-10",31039.28,72183.99,0.430002276127989,2020-10-01
"36","Other","Quebec","2020-11",35282.6043605885,133440.550062666,0.264406916368519,2020-11-01
