"","var.WHO","country","month","monthly_VOC_cases","total_monthly_VOC_cases","prop","date.smooth"
"1","Alpha","Africa","2020-01",0,0,0,2020-01-01
"2","Alpha","Africa","2020-02",0,0,0,2020-02-01
"3","Alpha","Africa","2020-03",0,0,0,2020-03-01
"4","Alpha","Africa","2020-04",0,0,0,2020-04-01
"5","Alpha","Africa","2020-05",0,0,0,2020-05-01
"6","Alpha","Africa","2020-06",0,0,0,2020-06-01
"7","Alpha","Africa","2020-07",0,0,0,2020-07-01
"8","Alpha","Africa","2020-08",0,0,0,2020-08-01
"9","Alpha","Africa","2020-09",854.422688547874,877.279397406999,0.973945918567467,2020-09-01
"10","Alpha","Africa","2020-10",0,8649.65206545893,0,2020-10-01
"11","Alpha","Africa","2020-11",453.007127283421,64303.2029488365,0.00704486101017177,2020-11-01
"12","Alpha","Africa","2020-12",5141.00387448214,654594.628358169,0.00785372145105533,2020-12-01
"13","Alpha","Africa","2021-01",47755.4415373794,3079652.73187425,0.0155067618641261,2021-01-01
"14","Alpha","Africa","2021-02",60825.2561102126,3315263.71115101,0.018347034024963,2021-02-01
"15","Alpha","Africa","2021-03",109860.612975191,6818341.89398191,0.0161125116169604,2021-03-01
"16","Alpha","Africa","2021-04",98406.5963090253,9465205.41200831,0.0103966677980574,2021-04-01
"17","Alpha","Africa","2021-05",39408.7459898149,5032511.01429293,0.00783083154272078,2021-05-01
"18","Alpha","Africa","2021-06",21882.2177449026,1770897.7490809,0.0123565675975699,2021-06-01
"19","Alpha","Africa","2021-07",14100.079429857,862596.055650988,0.0163460977330993,2021-07-01
"20","Alpha","Africa","2021-08",15842.4318150295,315815.682339137,0.0501635374712558,2021-08-01
"21","Alpha","Africa","2021-09",1046.84530383466,56656.5444391208,0.0184770411644065,2021-09-01
"22","Alpha","Africa","2021-10",991.549476362258,17834.9168097931,0.0555959686796969,2021-10-01
"23","Alpha","Africa","2021-11",35.4945747688552,1646.93200288286,0.0215519369996599,2021-11-01
"24","Alpha","Africa","2021-12",102.874896562258,2484.52169133995,0.0414063185364166,2021-12-01
"25","Alpha","Africa","2022-01",0,1740.55222169869,0,2022-01-01
"26","Alpha","Africa","2022-02",0,684.709421715295,0,2022-02-01
"27","Alpha","Africa","2022-03",0,1569.12398943978,0,2022-03-01
"28","Alpha","Asia","2020-01",0,0,0,2020-01-01
"29","Alpha","Asia","2020-02",0,0,0,2020-02-01
"30","Alpha","Asia","2020-03",0,0,0,2020-03-01
"31","Alpha","Asia","2020-04",0,0,0,2020-04-01
"32","Alpha","Asia","2020-05",0,0,0,2020-05-01
"33","Alpha","Asia","2020-06",0,0,0,2020-06-01
"34","Alpha","Asia","2020-07",0,0,0,2020-07-01
"35","Alpha","Asia","2020-08",0,0,0,2020-08-01
"36","Alpha","Asia","2020-09",0,877.279397406999,0,2020-09-01
"37","Alpha","Asia","2020-10",2241.29683231155,8649.65206545893,0.259119883129383,2020-10-01
"38","Alpha","Asia","2020-11",3913.84459954665,64303.2029488365,0.0608654689045698,2020-11-01
"39","Alpha","Asia","2020-12",40171.1644130107,654594.628358169,0.0613680019247433,2020-12-01
"40","Alpha","Asia","2021-01",395585.368478914,3079652.73187425,0.128451290752566,2021-01-01
"41","Alpha","Asia","2021-02",634101.866559657,3315263.71115101,0.191267398857845,2021-02-01
"42","Alpha","Asia","2021-03",808122.358481847,6818341.89398191,0.118521829947413,2021-03-01
"43","Alpha","Asia","2021-04",1041789.46480729,9465205.41200831,0.110065172329551,2021-04-01
"44","Alpha","Asia","2021-05",833949.304762984,5032511.01429293,0.165712365535707,2021-05-01
"45","Alpha","Asia","2021-06",476454.557427462,1770897.7490809,0.26904690441599,2021-06-01
"46","Alpha","Asia","2021-07",457117.752313264,862596.055650988,0.52993257889208,2021-07-01
"47","Alpha","Asia","2021-08",178753.35131185,315815.682339137,0.566005304068139,2021-08-01
"48","Alpha","Asia","2021-09",46846.2060541471,56656.5444391208,0.826845451269707,2021-09-01
"49","Alpha","Asia","2021-10",12407.2985666886,17834.9168097931,0.695674597140582,2021-10-01
"50","Alpha","Asia","2021-11",954.021917891373,1646.93200288286,0.579272195950659,2021-11-01
"51","Alpha","Asia","2021-12",899.291100672663,2484.52169133995,0.361957435834524,2021-12-01
"52","Alpha","Asia","2022-01",358.240629268206,1740.55222169869,0.205820098243637,2022-01-01
"53","Alpha","Asia","2022-02",0,684.709421715295,0,2022-02-01
"54","Alpha","Asia","2022-03",0,1569.12398943978,0,2022-03-01
"55","Alpha","Brazil","2020-01",0,0,0,2020-01-01
"56","Alpha","Brazil","2020-02",0,0,0,2020-02-01
"57","Alpha","Brazil","2020-03",0,0,0,2020-03-01
"58","Alpha","Brazil","2020-04",0,0,0,2020-04-01
"59","Alpha","Brazil","2020-05",0,0,0,2020-05-01
"60","Alpha","Brazil","2020-06",0,0,0,2020-06-01
"61","Alpha","Brazil","2020-07",0,0,0,2020-07-01
"62","Alpha","Brazil","2020-08",0,0,0,2020-08-01
"63","Alpha","Brazil","2020-09",0,877.279397406999,0,2020-09-01
"64","Alpha","Brazil","2020-10",0,8649.65206545893,0,2020-10-01
"65","Alpha","Brazil","2020-11",0,64303.2029488365,0,2020-11-01
"66","Alpha","Brazil","2020-12",2653.95112818365,654594.628358169,0.00405434296770842,2020-12-01
"67","Alpha","Brazil","2021-01",42066.2692988129,3079652.73187425,0.0136594197337346,2021-01-01
"68","Alpha","Brazil","2021-02",28996.9912631491,3315263.71115101,0.00874651122491906,2021-02-01
"69","Alpha","Brazil","2021-03",87374.4991086471,6818341.89398191,0.0128146256769211,2021-03-01
