"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Other",0.79,0.86,0.62,-1.21,0.84
"2","Alpha",0.91,0.91,0.82,-1.17,0.95
"3","Zeta",0.83,0.78,0.67,-0.55,0.74
"4","Gamma",0.91,0.89,0.83,-0.48,0.88
"5","Epsilon",0.67,0.64,0.43,-0.32,0.62
"6","Eta",0.89,0.88,0.79,-0.28,0.71
"7","Beta",0.89,0.88,0.79,-0.2,0.66
"8","Delta",0.84,0.88,0.7,-0.94,0.81
"9","Kappa",0.91,0.9,0.81,-0.74,0.92
"10","Iota",0.92,0.86,0.83,-0.29,0.63
"11","Mu",0.93,0.89,0.85,-0.36,0.85
"12","BA.1",0.76,0.73,0.57,-0.48,0.69
"13","BA.1.1",0.77,0.7,0.59,-0.49,0.7
"14","BA.2",0.78,0.73,0.58,-0.68,0.64
