"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Other",0.79,0.78,0.63,-20.09,0
"2","Alpha",0.9,0.78,0.81,-30,0
"3","Zeta",0.86,0.71,0.74,18.02,0
"4","Gamma",0.91,0.71,0.82,-19.68,0
"5","Epsilon",0.99,0.57,0.98,-17.74,0.01
"6","Eta",0.64,0.78,0.41,30,0.01
"7","Beta",0.82,0.81,0.67,46.4,0
"8","Delta",0.76,0.87,0.58,-10.2,0
"9","Kappa",0.9,0.77,0.8,23.33,0
"10","Iota",0.87,0.61,0.76,-77.08,0.03
"11","Mu",0.41,0.85,0.16,99.81,0
"12","BA.1",0.81,0.83,0.65,-74.12,0
"13","BA.1.1",0.75,0.69,0.56,-125.18,0
"14","BA.2",0.45,0.81,0.19,166.38,0
