"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Other",0.54,0.67,0.29,-0.8,0.37
"2","Alpha",0.7,0.73,0.49,-2.34,0.74
"3","Zeta",0.79,0.71,0.62,-0.61,0.51
"4","Gamma",0.88,0.88,0.77,-1.88,0.77
"5","Epsilon",0.81,0.72,0.65,-1.46,0.74
"6","Eta",0.79,0.78,0.62,-0.48,0.6
"7","Beta",0.87,0.88,0.76,-1.12,0.74
"8","Delta",0.76,0.82,0.58,-3.86,0.94
"9","Kappa",0.81,0.77,0.65,-0.6,0.59
"10","Iota",0.81,0.86,0.65,-0.74,0.61
"11","Mu",0.85,0.85,0.72,-0.55,0.64
"12","BA.1",0.69,0.74,0.47,-3.01,0.81
"13","BA.1.1",0.65,0.76,0.42,-0.71,0.4
"14","BA.2",0.73,0.73,0.51,-3.39,0.96
