"","var.WHO","division","month","monthly_VOC_cases","total_monthly_VOC_cases","prop","date.smooth"
"1","Alpha","Ontario","2020-02",0,0,0,2020-02-01
"2","Alpha","Ontario","2020-03",0,0,0,2020-03-01
"3","Alpha","Ontario","2020-04",0,0,0,2020-04-01
"4","Alpha","Ontario","2020-05",0,0,0,2020-05-01
"5","Alpha","Ontario","2020-06",0,0,0,2020-06-01
"6","Alpha","Ontario","2020-07",0,0,0,2020-07-01
"7","Alpha","Ontario","2020-08",0,0,0,2020-08-01
"8","Alpha","Ontario","2020-09",0,0,0,2020-09-01
"9","Alpha","Ontario","2020-10",0,0,0,2020-10-01
"10","Alpha","Ontario","2020-11",70.3912116655159,127.834431722127,0.550643599828603,2020-11-01
"11","Alpha","Ontario","2020-12",468.449955084152,1227.26512689337,0.381702327246892,2020-12-01
"12","Alpha","Ontario","2021-01",22291.1013538259,24139.3960911678,0.923432436736965,2021-01-01
"13","Alpha","Ontario","2021-02",36157.402348833,48710.3378117649,0.742294222810749,2021-02-01
"14","Alpha","Ontario","2021-03",41009.9673994629,93394.4534858461,0.439104956116885,2021-03-01
"15","Alpha","Ontario","2021-04",74944.4463150545,195845.109292631,0.382672033964723,2021-04-01
"16","Alpha","Ontario","2021-05",80640.5355699171,186416.131763574,0.432583461565392,2021-05-01
"17","Alpha","Ontario","2021-06",16249.3882756421,39711.4575908615,0.409186397614915,2021-06-01
"18","Alpha","Ontario","2021-07",1513.55029737256,6459.24876550625,0.234322961124402,2021-07-01
"19","Alpha","Ontario","2021-08",230.277277719687,2833.70599164604,0.0812636449930093,2021-08-01
"20","Alpha","Ontario","2021-09",24.9850688076514,1290.78197377945,0.0193565368243363,2021-09-01
"21","Alpha","Ontario","2021-10",8.77616352947333,88.0436068603794,0.0996797364673016,2021-10-01
"22","Alpha","Ontario","2021-11",7.88670815970014,227.287446454923,0.03469926862531,2021-11-01
"23","Alpha","Ontario","2021-12",0,0,0,2021-12-01
"24","Alpha","Ontario","2022-01",0,0,0,2022-01-01
"25","Alpha","Ontario","2022-02",0,0,0,2022-02-01
"26","Alpha","Ontario","2022-03",0,0,0,2022-03-01
"27","Alpha","Quebec","2020-02",0,0,0,2020-02-01
"28","Alpha","Quebec","2020-03",0,0,0,2020-03-01
"29","Alpha","Quebec","2020-04",0,0,0,2020-04-01
"30","Alpha","Quebec","2020-05",0,0,0,2020-05-01
"31","Alpha","Quebec","2020-06",0,0,0,2020-06-01
"32","Alpha","Quebec","2020-07",0,0,0,2020-07-01
"33","Alpha","Quebec","2020-08",0,0,0,2020-08-01
"34","Alpha","Quebec","2020-09",0,0,0,2020-09-01
"35","Alpha","Quebec","2020-10",0,0,0,2020-10-01
"36","Alpha","Quebec","2020-11",57.4432200566112,127.834431722127,0.449356400171397,2020-11-01
"37","Alpha","Quebec","2020-12",29.1061906805847,1227.26512689337,0.0237163022420937,2020-12-01
"38","Alpha","Quebec","2021-01",274.326083734196,24139.3960911678,0.0113642479993344,2021-01-01
"39","Alpha","Quebec","2021-02",4733.17005039568,48710.3378117649,0.0971697233693274,2021-02-01
"40","Alpha","Quebec","2021-03",22464.8062526598,93394.4534858461,0.240536835049464,2021-03-01
"41","Alpha","Quebec","2021-04",50925.1428786948,195845.109292631,0.260027646657251,2021-04-01
"42","Alpha","Quebec","2021-05",38828.6548333685,186416.131763574,0.208290207859337,2021-05-01
"43","Alpha","Quebec","2021-06",7397.50340998808,39711.4575908615,0.186281336892817,2021-06-01
"44","Alpha","Quebec","2021-07",2644.62829052191,6459.24876550625,0.409432797300637,2021-07-01
"45","Alpha","Quebec","2021-08",1699.39597189739,2833.70599164604,0.599707936146985,2021-08-01
"46","Alpha","Quebec","2021-09",1082.21592297984,1290.78197377945,0.838418838319442,2021-09-01
"47","Alpha","Quebec","2021-10",0,88.0436068603794,0,2021-10-01
"48","Alpha","Quebec","2021-11",211.231535934241,227.287446454923,0.929358568759025,2021-11-01
"49","Alpha","Quebec","2021-12",0,0,0,2021-12-01
"50","Alpha","Quebec","2022-01",0,0,0,2022-01-01
"51","Alpha","Quebec","2022-02",0,0,0,2022-02-01
"52","Alpha","Quebec","2022-03",0,0,0,2022-03-01
"53","Alpha","Alberta","2020-02",0,0,0,2020-02-01
"54","Alpha","Alberta","2020-03",0,0,0,2020-03-01
"55","Alpha","Alberta","2020-04",0,0,0,2020-04-01
"56","Alpha","Alberta","2020-05",0,0,0,2020-05-01
"57","Alpha","Alberta","2020-06",0,0,0,2020-06-01
"58","Alpha","Alberta","2020-07",0,0,0,2020-07-01
"59","Alpha","Alberta","2020-08",0,0,0,2020-08-01
"60","Alpha","Alberta","2020-09",0,0,0,2020-09-01
"61","Alpha","Alberta","2020-10",0,0,0,2020-10-01
"62","Alpha","Alberta","2020-11",0,127.834431722127,0,2020-11-01
"63","Alpha","Alberta","2020-12",687.892907820857,1227.26512689337,0.560508803474395,2020-12-01
"64","Alpha","Alberta","2021-01",907.462880463068,24139.3960911678,0.0375926090709076,2021-01-01
"65","Alpha","Alberta","2021-02",1942.04778840284,48710.3378117649,0.0398693147213975,2021-02-01
"66","Alpha","Alberta","2021-03",3364.23097574627,93394.4534858461,0.0360217427286099,2021-03-01
"67","Alpha","Alberta","2021-04",26664.8941464058,195845.109292631,0.136152974372024,2021-04-01
"68","Alpha","Alberta","2021-05",33572.0201029581,186416.131763574,0.180091818156256,2021-05-01
"69","Alpha","Alberta","2021-06",7172.27910646906,39711.4575908615,0.18060981745781,2021-06-01
"70","Alpha","Alberta","2021-07",680.530804321862,6459.24876550625,0.105357577796979,2021-07-01
"71","Alpha","Alberta","2021-08",191.576125284124,2833.70599164604,0.0676062110356202,2021-08-01
"72","Alpha","Alberta","2021-09",40.3875627795425,1290.78197377945,0.0312892212627409,2021-09-01
"73","Alpha","Alberta","2021-10",40.5317044378547,88.0436068603794,0.460359427370238,2021-10-01
"74","Alpha","Alberta","2021-11",7.60929947611313,227.287446454923,0.0334787494637204,2021-11-01
"75","Alpha","Alberta","2021-12",0,0,0,2021-12-01
"76","Alpha","Alberta","2022-01",0,0,0,2022-01-01
"77","Alpha","Alberta","2022-02",0,0,0,2022-02-01
"78","Alpha","Alberta","2022-03",0,0,0,2022-03-01
"79","Alpha","British Columbia","2020-02",0,0,0,2020-02-01
"80","Alpha","British Columbia","2020-03",0,0,0,2020-03-01
"81","Alpha","British Columbia","2020-04",0,0,0,2020-04-01
"82","Alpha","British Columbia","2020-05",0,0,0,2020-05-01
"83","Alpha","British Columbia","2020-06",0,0,0,2020-06-01
"84","Alpha","British Columbia","2020-07",0,0,0,2020-07-01
"85","Alpha","British Columbia","2020-08",0,0,0,2020-08-01
"86","Alpha","British Columbia","2020-09",0,0,0,2020-09-01
"87","Alpha","British Columbia","2020-10",0,0,0,2020-10-01
"88","Alpha","British Columbia","2020-11",0,127.834431722127,0,2020-11-01
"89","Alpha","British Columbia","2020-12",41.0067875934934,1227.26512689337,0.0334131449634649,2020-12-01
"90","Alpha","British Columbia","2021-01",386.782774228338,24139.3960911678,0.0160228852771447,2021-01-01
"91","Alpha","British Columbia","2021-02",3109.61206547147,48710.3378117649,0.0638388523908044,2021-02-01
"92","Alpha","British Columbia","2021-03",17189.4336649692,93394.4534858461,0.184051975501674,2021-03-01
"93","Alpha","British Columbia","2021-04",24858.0601615422,195845.109292631,0.126927142839188,2021-04-01
"94","Alpha","British Columbia","2021-05",18003.9254920103,186416.131763574,0.0965792247789161,2021-05-01
"95","Alpha","British Columbia","2021-06",3673.49229991089,39711.4575908615,0.0925045949649615,2021-06-01
"96","Alpha","British Columbia","2021-07",388.684367327638,6459.24876550625,0.0601748564636951,2021-07-01
"97","Alpha","British Columbia","2021-08",127.373631231341,2833.70599164604,0.0449494872110399,2021-08-01
"98","Alpha","British Columbia","2021-09",16.0304046101187,1290.78197377945,0.0124191419897051,2021-09-01
"99","Alpha","British Columbia","2021-10",1.99291412006194,88.0436068603794,0.0226355347211335,2021-10-01
"100","Alpha","British Columbia","2021-11",0.559902884868916,227.287446454923,0.0024634131519444,2021-11-01
"101","Alpha","British Columbia","2021-12",0,0,0,2021-12-01
"102","Alpha","British Columbia","2022-01",0,0,0,2022-01-01
"103","Alpha","British Columbia","2022-02",0,0,0,2022-02-01
"104","Alpha","British Columbia","2022-03",0,0,0,2022-03-01
"105","Alpha","Manitoba","2020-02",0,0,0,2020-02-01
"106","Alpha","Manitoba","2020-03",0,0,0,2020-03-01
"107","Alpha","Manitoba","2020-04",0,0,0,2020-04-01
"108","Alpha","Manitoba","2020-05",0,0,0,2020-05-01
"109","Alpha","Manitoba","2020-06",0,0,0,2020-06-01
"110","Alpha","Manitoba","2020-07",0,0,0,2020-07-01
"111","Alpha","Manitoba","2020-08",0,0,0,2020-08-01
"112","Alpha","Manitoba","2020-09",0,0,0,2020-09-01
"113","Alpha","Manitoba","2020-10",0,0,0,2020-10-01
"114","Alpha","Manitoba","2020-11",0,127.834431722127,0,2020-11-01
"115","Alpha","Manitoba","2020-12",0,1227.26512689337,0,2020-12-01
"116","Alpha","Manitoba","2021-01",37.410676510989,24139.3960911678,0.00154977682000408,2021-01-01
"117","Alpha","Manitoba","2021-02",69.2223265174016,48710.3378117649,0.00142110134372097,2021-02-01
"118","Alpha","Manitoba","2021-03",2332.29403776509,93394.4534858461,0.0249725112221847,2021-03-01
"119","Alpha","Manitoba","2021-04",4783.87645918155,195845.109292631,0.0244268364753164,2021-04-01
"120","Alpha","Manitoba","2021-05",1949.55501411505,186416.131763574,0.0104580810451942,2021-05-01
"121","Alpha","Manitoba","2021-06",1871.82625875523,39711.4575908615,0.0471356724812333,2021-06-01
"122","Alpha","Manitoba","2021-07",813.662480760047,6459.24876550625,0.125968593299143,2021-07-01
"123","Alpha","Manitoba","2021-08",194.284275641423,2833.70599164604,0.0685619031099862,2021-08-01
"124","Alpha","Manitoba","2021-09",56.5747394457554,1290.78197377945,0.043829818354298,2021-09-01
"125","Alpha","Manitoba","2021-10",0,88.0436068603794,0,2021-10-01
"126","Alpha","Manitoba","2021-11",0,227.287446454923,0,2021-11-01
"127","Alpha","Manitoba","2021-12",0,0,0,2021-12-01
"128","Alpha","Manitoba","2022-01",0,0,0,2022-01-01
"129","Alpha","Manitoba","2022-02",0,0,0,2022-02-01
"130","Alpha","Manitoba","2022-03",0,0,0,2022-03-01
"131","Alpha","Saskatchewan","2020-02",0,0,0,2020-02-01
"132","Alpha","Saskatchewan","2020-03",0,0,0,2020-03-01
"133","Alpha","Saskatchewan","2020-04",0,0,0,2020-04-01
"134","Alpha","Saskatchewan","2020-05",0,0,0,2020-05-01
"135","Alpha","Saskatchewan","2020-06",0,0,0,2020-06-01
"136","Alpha","Saskatchewan","2020-07",0,0,0,2020-07-01
"137","Alpha","Saskatchewan","2020-08",0,0,0,2020-08-01
"138","Alpha","Saskatchewan","2020-09",0,0,0,2020-09-01
"139","Alpha","Saskatchewan","2020-10",0,0,0,2020-10-01
"140","Alpha","Saskatchewan","2020-11",0,127.834431722127,0,2020-11-01
"141","Alpha","Saskatchewan","2020-12",0,1227.26512689337,0,2020-12-01
"142","Alpha","Saskatchewan","2021-01",209.374848419735,24139.3960911678,0.00867357441872134,2021-01-01
"143","Alpha","Saskatchewan","2021-02",1663.4727111544,48710.3378117649,0.0341503012683404,2021-02-01
"144","Alpha","Saskatchewan","2021-03",6852.74467796684,93394.4534858461,0.0733742146583189,2021-03-01
"145","Alpha","Saskatchewan","2021-04",12970.9038840892,195845.109292631,0.0662304202077784,2021-04-01
"146","Alpha","Saskatchewan","2021-05",9811.82477078107,186416.131763574,0.0526339897623512,2021-05-01
"147","Alpha","Saskatchewan","2021-06",3107.49133501771,39711.4575908615,0.0782517571385447,2021-06-01
"148","Alpha","Saskatchewan","2021-07",370.252015989222,6459.24876550625,0.0573212194530184,2021-07-01
"149","Alpha","Saskatchewan","2021-08",69.275112441718,2833.70599164604,0.0244468242809754,2021-08-01
"150","Alpha","Saskatchewan","2021-09",0,1290.78197377945,0,2021-09-01
"151","Alpha","Saskatchewan","2021-10",0,88.0436068603794,0,2021-10-01
"152","Alpha","Saskatchewan","2021-11",0,227.287446454923,0,2021-11-01
"153","Alpha","Saskatchewan","2021-12",0,0,0,2021-12-01
"154","Alpha","Saskatchewan","2022-01",0,0,0,2022-01-01
"155","Alpha","Saskatchewan","2022-02",0,0,0,2022-02-01
"156","Alpha","Saskatchewan","2022-03",0,0,0,2022-03-01
"157","Alpha","Nova Scotia","2020-02",0,0,0,2020-02-01
"158","Alpha","Nova Scotia","2020-03",0,0,0,2020-03-01
"159","Alpha","Nova Scotia","2020-04",0,0,0,2020-04-01
"160","Alpha","Nova Scotia","2020-05",0,0,0,2020-05-01
"161","Alpha","Nova Scotia","2020-06",0,0,0,2020-06-01
"162","Alpha","Nova Scotia","2020-07",0,0,0,2020-07-01
"163","Alpha","Nova Scotia","2020-08",0,0,0,2020-08-01
"164","Alpha","Nova Scotia","2020-09",0,0,0,2020-09-01
"165","Alpha","Nova Scotia","2020-10",0,0,0,2020-10-01
"166","Alpha","Nova Scotia","2020-11",0,127.834431722127,0,2020-11-01
"167","Alpha","Nova Scotia","2020-12",0.809285714285714,1227.26512689337,0.000659422073154064,2020-12-01
"168","Alpha","Nova Scotia","2021-01",7.19380036630037,24139.3960911678,0.000298010784492345,2021-01-01
"169","Alpha","Nova Scotia","2021-02",11.8554110642836,48710.3378117649,0.000243385934010504,2021-02-01
"170","Alpha","Nova Scotia","2021-03",21.2234158921144,93394.4534858461,0.000227244928365375,2021-03-01
"171","Alpha","Nova Scotia","2021-04",485.04204710306,195845.109292631,0.00247666152529912,2021-04-01
"172","Alpha","Nova Scotia","2021-05",3473.98684728849,186416.131763574,0.0186356556936523,2021-05-01
"173","Alpha","Nova Scotia","2021-06",216.962247735815,39711.4575908615,0.00546346724341196,2021-06-01
"174","Alpha","Nova Scotia","2021-07",41.1241758796759,6459.24876550625,0.00636671188440483,2021-07-01
"175","Alpha","Nova Scotia","2021-08",1.49327894327894,2833.70599164604,0.00052697031649763,2021-08-01
"176","Alpha","Nova Scotia","2021-09",0,1290.78197377945,0,2021-09-01
"177","Alpha","Nova Scotia","2021-10",0,88.0436068603794,0,2021-10-01
"178","Alpha","Nova Scotia","2021-11",0,227.287446454923,0,2021-11-01
"179","Alpha","Nova Scotia","2021-12",0,0,0,2021-12-01
