"","var.WHO","country","month","monthly_VOC_cases","total_monthly_VOC_cases","prop","date.smooth"
"1","Alpha","Africa","2020-01",0,0,0,2020-01-01
"2","Alpha","Africa","2020-02",0,0,0,2020-02-01
"3","Alpha","Africa","2020-03",0,0,0,2020-03-01
"4","Alpha","Africa","2020-04",0,0,0,2020-04-01
"5","Alpha","Africa","2020-05",0,0,0,2020-05-01
"6","Alpha","Africa","2020-06",0,0,0,2020-06-01
"7","Alpha","Africa","2020-07",0,0,0,2020-07-01
"8","Alpha","Africa","2020-08",0,0,0,2020-08-01
"9","Alpha","Africa","2020-09",854.422688547874,877.279397406999,0.973945918567467,2020-09-01
"10","Alpha","Africa","2020-10",0,11175.2244724575,0,2020-10-01
"11","Alpha","Africa","2020-11",531.056577832871,110380.38537243,0.0048111498799452,2020-11-01
"12","Alpha","Africa","2020-12",5141.00387448214,1179637.30052945,0.00435812251119452,2020-12-01
"13","Alpha","Africa","2021-01",50205.4747599708,5335296.3585168,0.00941006298175492,2021-01-01
"14","Alpha","Africa","2021-02",65351.9862355259,6044708.29876473,0.0108114375426323,2021-02-01
"15","Alpha","Africa","2021-03",109860.612975191,12138765.8920547,0.00905039391583451,2021-03-01
"16","Alpha","Africa","2021-04",101326.164244757,16353103.5487079,0.00619614276537513,2021-04-01
"17","Alpha","Africa","2021-05",39408.7459898149,8687397.71743794,0.00453631193961696,2021-05-01
"18","Alpha","Africa","2021-06",22745.2463163312,3172245.54255729,0.00717007747704019,2021-06-01
"19","Alpha","Africa","2021-07",14702.343789209,1614287.44673371,0.00910763682078875,2021-07-01
"20","Alpha","Africa","2021-08",22675.8373138275,595076.369779067,0.0381057599753898,2021-08-01
"21","Alpha","Africa","2021-09",1258.76527283132,103334.826430444,0.0121814234011281,2021-09-01
"22","Alpha","Africa","2021-10",1190.85075571576,31211.7771588029,0.0381538913871137,2021-10-01
"23","Alpha","Africa","2021-11",44.2506571144572,2095.97006049964,0.0211122563000297,2021-11-01
"24","Alpha","Africa","2021-12",116.603778153209,3133.96724214541,0.03720644446602,2021-12-01
"25","Alpha","Africa","2022-01",0,2053.66079719521,0,2022-01-01
"26","Alpha","Africa","2022-02",0,753.226031445786,0,2022-02-01
"27","Alpha","Africa","2022-03",0,1683.11485378036,0,2022-03-01
"28","Alpha","Asia","2020-01",0,0,0,2020-01-01
"29","Alpha","Asia","2020-02",0,0,0,2020-02-01
"30","Alpha","Asia","2020-03",0,0,0,2020-03-01
"31","Alpha","Asia","2020-04",0,0,0,2020-04-01
"32","Alpha","Asia","2020-05",0,0,0,2020-05-01
"33","Alpha","Asia","2020-06",0,0,0,2020-06-01
"34","Alpha","Asia","2020-07",0,0,0,2020-07-01
"35","Alpha","Asia","2020-08",0,0,0,2020-08-01
"36","Alpha","Asia","2020-09",0,877.279397406999,0,2020-09-01
"37","Alpha","Asia","2020-10",2795.2324116445,11175.2244724575,0.250127629966955,2020-10-01
"38","Alpha","Asia","2020-11",5198.45942524483,110380.38537243,0.0470958622558249,2020-11-01
"39","Alpha","Asia","2020-12",62500.9850331032,1179637.30052945,0.0529832220505837,2020-12-01
"40","Alpha","Asia","2021-01",657059.314736526,5335296.3585168,0.123153292822741,2021-01-01
"41","Alpha","Asia","2021-02",1193274.47119885,6044708.29876473,0.197408115035543,2021-02-01
"42","Alpha","Asia","2021-03",1183096.14232614,12138765.8920547,0.097464285319196,2021-03-01
"43","Alpha","Asia","2021-04",1391068.88759017,16353103.5487079,0.0850645190037996,2021-04-01
"44","Alpha","Asia","2021-05",1394598.76632226,8687397.71743794,0.160531244416602,2021-05-01
"45","Alpha","Asia","2021-06",936604.040673106,3172245.54255729,0.295249541092606,2021-06-01
"46","Alpha","Asia","2021-07",914235.504626528,1614287.44673371,0.566339970292378,2021-07-01
"47","Alpha","Asia","2021-08",357506.7026237,595076.369779067,0.600774490098524,2021-08-01
"48","Alpha","Asia","2021-09",88019.3220256546,103334.826430444,0.851787582813634,2021-09-01
"49","Alpha","Asia","2021-10",23885.0492577501,31211.7771588029,0.765257586462473,2021-10-01
"50","Alpha","Asia","2021-11",1266.6908063042,2095.97006049964,0.604345849292452,2021-11-01
"51","Alpha","Asia","2021-12",1114.62410878394,3133.96724214541,0.355659144675967,2021-12-01
"52","Alpha","Asia","2022-01",399.714111569915,2053.66079719521,0.194634923214108,2022-01-01
"53","Alpha","Asia","2022-02",0,753.226031445786,0,2022-02-01
"54","Alpha","Asia","2022-03",0,1683.11485378036,0,2022-03-01
"55","Alpha","Brazil","2020-01",0,0,0,2020-01-01
"56","Alpha","Brazil","2020-02",0,0,0,2020-02-01
"57","Alpha","Brazil","2020-03",0,0,0,2020-03-01
"58","Alpha","Brazil","2020-04",0,0,0,2020-04-01
"59","Alpha","Brazil","2020-05",0,0,0,2020-05-01
"60","Alpha","Brazil","2020-06",0,0,0,2020-06-01
"61","Alpha","Brazil","2020-07",0,0,0,2020-07-01
"62","Alpha","Brazil","2020-08",0,0,0,2020-08-01
"63","Alpha","Brazil","2020-09",0,877.279397406999,0,2020-09-01
"64","Alpha","Brazil","2020-10",0,11175.2244724575,0,2020-10-01
"65","Alpha","Brazil","2020-11",0,110380.38537243,0,2020-11-01
"66","Alpha","Brazil","2020-12",2653.95112818365,1179637.30052945,0.0022498026528938,2020-12-01
"67","Alpha","Brazil","2021-01",42066.2692988129,5335296.3585168,0.00788452345888189,2021-01-01
"68","Alpha","Brazil","2021-02",28996.9912631491,6044708.29876473,0.00479708694447254,2021-02-01
"69","Alpha","Brazil","2021-03",87374.4991086471,12138765.8920547,0.0071979721732534,2021-03-01
