"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Alpha",0.77,0.86,0.59,100.03,0.03
"2","BA.1",0.19,0.79,0.01,908.35,0.01
"3","BA.1.1",0.51,0.74,0.23,621.25,0.01
"4","BA.2",0.69,0.71,0.43,20.32,0.02
"5","Beta",0.94,0.9,0.89,9.31,0.03
"6","Delta",0.56,0.82,0.31,93.03,0.02
"7","Epsilon",0.79,0.7,0.61,-5.79,0.12
"8","Eta",0.76,0.89,0.57,12.85,0.04
"9","Gamma",0.59,0.92,0.34,142.14,0.04
"10","Iota",0.82,0.89,0.65,7.45,0.01
"11","Kappa",0.71,0.91,0.46,7.13,0.08
"12","Mu",0.96,0.82,0.92,-1.09,0.21
"13","Other",0.64,0.79,0.4,79.58,0.01
"14","Zeta",0.48,0.8,0.18,5.93,0.03
