"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Alpha",0.88,0.87,0.78,-0.57,0.78
"2","BA.1",0.75,0.78,0.55,-0.39,0.7
"3","BA.1.1",0.75,0.75,0.55,-0.41,0.71
"4","BA.2",0.78,0.71,0.57,-0.44,0.63
"5","Beta",0.9,0.9,0.81,-0.29,0.64
"6","Delta",0.8,0.8,0.64,-0.72,0.73
"7","Epsilon",0.74,0.7,0.53,-0.46,0.65
"8","Eta",0.91,0.89,0.82,-0.36,0.68
"9","Gamma",0.92,0.92,0.85,-0.54,0.84
"10","Iota",0.92,0.88,0.83,-0.31,0.59
"11","Kappa",0.92,0.91,0.83,-0.76,0.86
"12","Mu",0.92,0.82,0.84,-0.39,0.78
"13","Other",0.78,0.8,0.61,-0.31,0.6
"14","Zeta",0.85,0.8,0.71,-0.57,0.7
