"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Alpha",0.61,0.51,0.36,40.48,0
"2","BA.1",0.83,0.85,0.68,-113.89,0
"3","BA.1.1",0.77,0.69,0.59,-215.63,0
"4","BA.2",0.47,0.83,0.21,327.69,0
"5","Beta",0.78,0.64,0.61,56.41,0
"6","Delta",0.75,0.64,0.56,14.12,0
"7","Epsilon",0.83,0.63,0.69,79.69,0
"8","Eta",0.66,0.77,0.43,30.39,0
"9","Gamma",0.85,0.56,0.72,27.9,0
"10","Iota",0.87,0.65,0.75,-45.96,0.02
"11","Kappa",0.88,0.62,0.76,23.91,0
"12","Mu",0.42,0.82,0.17,99.13,0
"13","Other",0.46,0.65,0.21,31.51,0
"14","Zeta",0.87,0.59,0.75,18.31,0
