"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Alpha",0.65,0.65,0.42,-0.6,0.4
"2","BA.1",0.73,0.78,0.52,-2.84,0.81
"3","BA.1.1",0.65,0.77,0.42,-0.43,0.4
"4","BA.2",0.77,0.78,0.58,-3.26,0.96
"5","Beta",0.86,0.86,0.73,-0.77,0.64
"6","Delta",0.61,0.66,0.37,-0.93,0.42
"7","Epsilon",0.7,0.59,0.48,-1.05,0.58
"8","Eta",0.77,0.77,0.6,-0.38,0.55
"9","Gamma",0.83,0.81,0.69,-0.73,0.54
"10","Iota",0.82,0.87,0.67,-0.77,0.6
"11","Kappa",0.82,0.77,0.66,-0.59,0.57
"12","Mu",0.89,0.89,0.79,-0.58,0.63
"13","Other",0.4,0.46,0.16,-0.13,0.25
"14","Zeta",0.84,0.76,0.7,-0.59,0.51
