"","var.WHO","country","month","monthly_VOC_cases","total_monthly_VOC_cases","prop","date.smooth"
"1","Other","Europe","2020-01",0,6877.91587301587,0,2020-01-01
"2","Other","Europe","2020-02",564.714285714286,75960.5,0.00743431501522878,2020-02-01
"3","Other","Europe","2020-03",155498.142857143,584689.030413504,0.265950162853528,2020-03-01
"4","Other","Europe","2020-04",492352.285714286,2385611.992999,0.206384058748523,2020-04-01
"5","Other","Europe","2020-05",487659.142857143,2784136.61155457,0.175156327039876,2020-05-01
"6","Other","Europe","2020-06",406087.571428571,4119362.55856695,0.0985801967306907,2020-06-01
"7","Other","Europe","2020-07",393222.285714286,6822624.01338381,0.0576350514029366,2020-07-01
"8","Other","Europe","2020-08",453467.285714286,7971508.13039603,0.0568860093092268,2020-08-01
"9","Other","Europe","2020-09",673127.285714286,8390934.01867192,0.0802207816455725,2020-09-01
"10","Other","Europe","2020-10",2394173.98103037,11324612.0148081,0.211413333887267,2020-10-01
"11","Other","Europe","2020-11",4868496.59492465,16744793.9303998,0.290746880204122,2020-11-01
"12","Other","Europe","2020-12",5460202.88503321,17726106.6677312,0.30803170641938,2020-12-01
"13","Other","Europe","2021-01",2744371.81660043,13820854.1691235,0.198567453430736,2021-01-01
"14","Other","Europe","2021-02",1249541.90254609,5840223.72245578,0.213954458241314,2021-02-01
"15","Other","Europe","2021-03",778152.503425815,3354323.2322037,0.231984948843046,2021-03-01
"16","Other","Europe","2021-04",374235.514469664,2815265.64803744,0.132930799880483,2021-04-01
"17","Other","Europe","2021-05",109692.588473855,1731492.65397073,0.0633514604998778,2021-05-01
"18","Other","Europe","2021-06",52822.0764013682,883844.690390036,0.0597639800020275,2021-06-01
"19","Other","Europe","2021-07",50027.5859299097,618660.239610073,0.0808643949083279,2021-07-01
"20","Other","Europe","2021-08",219959.47301452,535889.621114856,0.410456676800196,2021-08-01
"21","Other","Europe","2021-09",1792.92728740191,202437.327164268,0.00885670302269419,2021-09-01
"22","Other","Europe","2021-10",10059.5975996672,113765.630859534,0.0884238721630062,2021-10-01
"23","Other","Europe","2021-11",36989.4724442554,119757.140491901,0.30887070526502,2021-11-01
"24","Other","Europe","2021-12",51132.6292808641,164153.508661076,0.311492758808077,2021-12-01
"25","Other","Europe","2022-01",78798.64479456,369169.076490342,0.213448660282415,2022-01-01
"26","Other","Europe","2022-02",23583.639003975,67656.7331947379,0.348577856044182,2022-02-01
"27","Other","Europe","2022-03",5432.5726781649,57377.1797429606,0.0946817655120353,2022-03-01
"28","Other","France","2020-01",5.42857142857143,6877.91587301587,0.000789275636515029,2020-01-01
"29","Other","France","2020-02",27.8571428571429,75960.5,0.000366731957492945,2020-02-01
"30","Other","France","2020-03",37470.2857142857,584689.030413504,0.0640858366844782,2020-03-01
"31","Other","France","2020-04",130818.142857143,2385611.992999,0.0548363033221882,2020-04-01
"32","Other","France","2020-05",22570.4285714286,2784136.61155457,0.00810679636830968,2020-05-01
"33","Other","France","2020-06",15411,4119362.55856695,0.00374111280104493,2020-06-01
"34","Other","France","2020-07",20285.5714285714,6822624.01338381,0.00297327998564447,2020-07-01
"35","Other","France","2020-08",81677.8571428571,7971508.13039603,0.0102462239022767,2020-08-01
"36","Other","France","2020-09",269472.428571429,8390934.01867192,0.0321147118987928,2020-09-01
"37","Other","France","2020-10",710219.725017465,11324612.0148081,0.0627147070547567,2020-10-01
"38","Other","France","2020-11",959702.845469671,16744793.9303998,0.0573135058847964,2020-11-01
