"pruid","prname","prnameFR","date","update","numconf","numprob","numdeaths","numtotal","numtested","numtests","numrecover","percentrecover","ratetested","ratetests","numtoday","percentoday","ratetotal","ratedeaths","numdeathstoday","percentdeath","numtestedtoday","numteststoday","numrecoveredtoday","percentactive","numactive","rateactive","numtotal_last14","ratetotal_last14","numdeaths_last14","ratedeaths_last14","numtotal_last7","ratetotal_last7","numdeaths_last7","ratedeaths_last7","avgtotal_last7","avgincidence_last7","avgdeaths_last7","avgratedeaths_last7","raterecovered"
1,"Canada","Canada",2020-01-31,NA,4,0,0,4,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,100,4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Canada","Canada",2020-02-08,NA,7,0,0,7,0,63,0,0,0,1.65,3,42.86,0.02,0,0,0,0,63,0,100,7,0.02,3,0.01,0,0,3,0.01,0,0,0.43,0,0,0,0
1,"Canada","Canada",2020-02-16,NA,8,0,0,8,0,109,0,0,0,2.85,1,12.5,0.02,0,0,0,0,46,0,100,8,0.02,4,0.01,0,0,4,0.01,0,0,0.57,0,0,0,0
1,"Canada","Canada",2020-02-21,NA,9,0,0,9,0,166,0,0,0,4.34,1,11.11,0.02,0,0,0,0,57,0,100,9,0.02,5,0.01,0,0,5,0.01,0,0,0.71,0,0,0,0
1,"Canada","Canada",2020-02-24,NA,10,0,0,10,0,212,0,0,0,5.54,1,10,0.03,0,0,0,0,46,0,100,10,0.03,6,0.02,0,0,6,0.02,0,0,0.86,0,0,0,0
1,"Canada","Canada",2020-02-25,NA,11,0,0,11,0,230,0,0,0,6.01,1,9.09,0.03,0,0,0,0,18,0,100,11,0.03,7,0.02,0,0,7,0.02,0,0,1,0,0,0,0
1,"Canada","Canada",2020-02-26,NA,12,0,0,12,0,292,0,0,0,7.63,1,8.33,0.03,0,0,0,0,62,0,100,12,0.03,8,0.02,0,0,8,0.02,0,0,1.14,0,0,0,0
1,"Canada","Canada",2020-02-27,NA,13,0,0,13,0,369,0,0,0,9.65,1,7.69,0.03,0,0,0,0,77,0,100,13,0.03,9,0.02,0,0,9,0.02,0,0,1.29,0,0,0,0
1,"Canada","Canada",2020-02-29,NA,15,0,0,15,0,510,0,0,0,13.33,2,13.33,0.04,0,0,0,0,141,0,100,15,0.04,11,0.03,0,0,8,0.02,0,0,1.14,0,0,0,0
1,"Canada","Canada",2020-03-01,NA,24,0,0,24,0,635,0,0,0,16.6,9,37.5,0.06,0,0,0,0,125,0,100,24,0.06,20,0.05,0,0,16,0.04,0,0,2.29,0.01,0,0,0
1,"Canada","Canada",2020-03-03,NA,33,0,0,33,0,733,0,0,0,19.17,9,27.27,0.09,0,0,0,0,98,0,100,33,0.09,29,0.08,0,0,24,0.06,0,0,3.43,0.01,0,0,0
1,"Canada","Canada",2020-03-05,NA,45,0,0,45,0,1099,0,0,0,28.73,12,26.67,0.12,0,0,0,0,366,0,100,45,0.12,41,0.11,0,0,35,0.09,0,0,5,0.01,0,0,0
1,"Canada","Canada",2020-03-06,NA,51,0,0,51,0,1395,0,0,0,36.47,6,11.76,0.13,0,0,0,0,296,0,100,51,0.13,47,0.12,0,0,40,0.1,0,0,5.71,0.01,0,0,0
1,"Canada","Canada",2020-03-07,NA,57,0,0,57,0,1767,0,0,0,46.2,6,10.53,0.15,0,0,0,0,372,0,100,57,0.15,53,0.14,0,0,45,0.12,0,0,6.43,0.02,0,0,0
1,"Canada","Canada",2020-03-08,NA,62,0,1,62,0,2699,0,0,0,70.57,5,8.06,0.16,0,1,1.61,0,932,0,98.39,61,0.16,58,0.15,1,0,49,0.13,1,0,7,0.02,0,0,0
1,"Canada","Canada",2020-03-09,NA,77,0,1,77,0,3531,0,0,0,92.32,15,19.48,0.2,0,0,1.3,0,832,0,98.7,76,0.2,70,0.18,1,0,62,0.16,1,0,8.86,0.02,0,0,0
1,"Canada","Canada",2020-03-11,NA,103,0,1,103,11052,4846,0,0,288.97,126.71,26,25.24,0.27,0,0,0.97,11052,1315,0,99.03,102,0.27,95,0.25,1,0,79,0.21,1,0,11.29,0.03,0,0,0
1,"Canada","Canada",2020-03-12,NA,138,3,1,141,15214,6739,0,0,397.79,176.2,38,26.95,0.37,0,0,0.71,4162,1893,0,99.29,140,0.37,132,0.35,1,0,108,0.28,1,0,15.43,0.04,0,0,0
1,"Canada","Canada",2020-03-13,NA,176,3,1,179,15214,9889,0,0,397.79,258.56,38,21.23,0.47,0,0,0.56,0,3150,0,99.44,178,0.47,169,0.44,1,0,134,0.35,1,0,19.14,0.05,0,0,0
1,"Canada","Canada",2020-03-14,NA,193,6,1,199,22438,13209,0,0,586.67,345.37,20,10.05,0.52,0,0,0.5,7224,3320,0,99.5,198,0.52,188,0.49,1,0,148,0.39,1,0,21.14,0.06,0,0,0
1,"Canada","Canada",2020-03-15,NA,249,4,1,253,25006,17357,0,0,653.82,453.82,54,21.34,0.66,0,0,0.4,2568,4148,0,99.6,252,0.66,241,0.63,1,0,196,0.51,1,0,28,0.07,0,0,0
1,"Canada","Canada",2020-03-16,NA,324,17,4,341,37759,21876,0,0,987.26,571.98,88,25.81,0.89,0.01,3,1.17,12753,4519,0,98.83,337,0.88,328,0.86,4,0.01,279,0.73,3,0.01,39.86,0.1,0,0,0
1,"Canada","Canada",2020-03-17,NA,424,16,7,440,44205,26907,0,0,1155.8,703.52,99,22.5,1.15,0.02,3,1.59,6446,5031,0,98.41,433,1.13,425,1.11,7,0.02,363,0.95,6,0.02,51.86,0.14,1,0,0
1,"Canada","Canada",2020-03-18,NA,569,28,8,597,53575,34193,0,0,1400.8,894.03,157,26.3,1.56,0.02,1,1.34,9370,7286,0,98.66,589,1.54,573,1.5,8,0.02,494,1.29,7,0.02,70.57,0.18,1,0,0
1,"Canada","Canada",2020-03-19,NA,846,27,10,873,65880,42801,0,0,1722.53,1119.09,276,31.62,2.28,0.03,2,1.15,12305,8608,0,98.85,863,2.26,840,2.2,10,0.03,732,1.91,9,0.02,104.57,0.27,1,0,0
1,"Canada","Canada",2020-03-20,NA,971,33,11,1004,76843,50068,0,0,2009.17,1309.1,131,13.05,2.63,0.03,1,1.1,10963,7267,0,98.9,993,2.6,959,2.51,11,0.03,825,2.16,10,0.03,117.86,0.31,1,0,0
1,"Canada","Canada",2020-03-21,NA,1302,69,15,1371,88912,58195,0,0,2324.73,1521.59,367,26.77,3.58,0.04,4,1.09,12069,8127,0,98.91,1356,3.55,1320,3.45,15,0.04,1172,3.06,14,0.04,167.43,0.44,2,0.01,0
1,"Canada","Canada",2020-03-22,NA,1430,41,15,1471,98853,68730,0,0,2584.66,1797.05,100,6.8,3.85,0.04,0,1.02,9941,10535,0,98.98,1456,3.81,1414,3.7,15,0.04,1218,3.18,14,0.04,174,0.45,2,0.01,0
1,"Canada","Canada",2020-03-23,NA,1646,445,18,2091,107223,79877,0,0,2803.5,2088.5,620,29.65,5.47,0.05,3,0.86,8370,11147,0,99.14,2073,5.42,2029,5.31,17,0.04,1750,4.58,14,0.04,250,0.65,2,0.01,0
1,"Canada","Canada",2020-03-24,NA,1959,833,19,2792,125138,90468,0,0,3271.91,2365.42,701,25.11,7.3,0.05,1,0.68,17915,10591,0,99.32,2773,7.25,2715,7.1,18,0.05,2352,6.15,12,0.03,336,0.88,2,0,0
1,"Canada","Canada",2020-03-25,NA,3385,24,22,3409,147865,101538,0,0,3866.15,2654.86,617,18.1,8.91,0.06,3,0.65,22727,11070,0,99.35,3387,8.86,3306,8.64,21,0.05,2812,7.35,14,0.04,401.71,1.05,2,0.01,0
