"","date","var.WHO","total","avgtotal","avgtotal_mod","prop","avgtotal_cases","avgVOC_cases"
"1",2020-02-16,"Alpha",0,NA,0,0,0.57,0
"2",2020-02-17,"Alpha",0,NA,0,0,0,0
"3",2020-02-18,"Alpha",0,NA,0,0,0,0
"4",2020-02-19,"Alpha",0,NA,0,0,0,0
"5",2020-02-20,"Alpha",0,NA,0,0,0,0
"6",2020-02-21,"Alpha",0,NA,0,0,0.71,0
"7",2020-02-22,"Alpha",0,0,0,0,0,0
"8",2020-02-23,"Alpha",0,0,0,0,0,0
"9",2020-02-24,"Alpha",0,0,0,0,0.86,0
"10",2020-02-25,"Alpha",0,0,0,0,1,0
"11",2020-02-26,"Alpha",0,0,0,0,1.14,0
"12",2020-02-27,"Alpha",0,0,0,0,1.29,0
"13",2020-02-28,"Alpha",0,0,0,0,0,0
"14",2020-02-29,"Alpha",0,0,0,0,1.14,0
"15",2020-03-01,"Alpha",0,0,0,0,2.29,0
"16",2020-03-02,"Alpha",0,0,0,0,0,0
"17",2020-03-03,"Alpha",0,0,0,0,3.43,0
"18",2020-03-04,"Alpha",0,0,0,0,0,0
"19",2020-03-05,"Alpha",0,0,0,0,5,0
"20",2020-03-06,"Alpha",0,0,0,0,5.71,0
"21",2020-03-07,"Alpha",0,0,0,0,6.43,0
"22",2020-03-08,"Alpha",0,0,0,0,7,0
"23",2020-03-09,"Alpha",0,0,0,0,8.86,0
"24",2020-03-10,"Alpha",0,0,0,0,0,0
"25",2020-03-11,"Alpha",0,0,0,0,11.29,0
"26",2020-03-12,"Alpha",0,0,0,0,15.43,0
"27",2020-03-13,"Alpha",0,0,0,0,19.14,0
"28",2020-03-14,"Alpha",0,0,0,0,21.14,0
"29",2020-03-15,"Alpha",0,0,0,0,28,0
"30",2020-03-16,"Alpha",0,0,0,0,39.86,0
"31",2020-03-17,"Alpha",0,0,0,0,51.86,0
"32",2020-03-18,"Alpha",0,0,0,0,70.57,0
"33",2020-03-19,"Alpha",0,0,0,0,104.57,0
