"date","country","total","avgtotal","avgtotal_mod"
2019-12-30,"Africa",0,NA,0
2019-12-31,"Africa",0,NA,0
2020-01-01,"Africa",1,NA,1
2020-01-02,"Africa",0,NA,0
2020-01-03,"Africa",0,NA,0
2020-01-04,"Africa",0,NA,0
2020-01-05,"Africa",0,0.142857142857143,0.142857142857143
2020-01-06,"Africa",0,0.142857142857143,0.142857142857143
2020-01-07,"Africa",0,0.142857142857143,0.142857142857143
2020-01-08,"Africa",0,0,0
2020-01-09,"Africa",0,0,0
2020-01-10,"Africa",0,0,0
2020-01-11,"Africa",0,0,0
2020-01-12,"Africa",0,0,0
2020-01-13,"Africa",0,0,0
2020-01-14,"Africa",2,0.285714285714286,0.285714285714286
2020-01-15,"Africa",0,0.285714285714286,0.285714285714286
2020-01-16,"Africa",0,0.285714285714286,0.285714285714286
2020-01-17,"Africa",0,0.285714285714286,0.285714285714286
2020-01-18,"Africa",0,0.285714285714286,0.285714285714286
2020-01-19,"Africa",0,0.285714285714286,0.285714285714286
2020-01-20,"Africa",0,0.285714285714286,0.285714285714286
2020-01-21,"Africa",0,0,0
2020-01-22,"Africa",0,0,0
2020-01-23,"Africa",0,0,0
2020-01-24,"Africa",0,0,0
2020-01-25,"Africa",0,0,0
2020-01-26,"Africa",0,0,0
2020-01-27,"Africa",0,0,0
2020-01-28,"Africa",0,0,0
2020-01-29,"Africa",0,0,0
2020-01-30,"Africa",0,0,0
2020-01-31,"Africa",0,0,0
2020-02-01,"Africa",0,0,0
2020-02-02,"Africa",3,0.428571428571429,0.428571428571429
2020-02-03,"Africa",0,0.428571428571429,0.428571428571429
2020-02-04,"Africa",0,0.428571428571429,0.428571428571429
2020-02-05,"Africa",0,0.428571428571429,0.428571428571429
2020-02-06,"Africa",0,0.428571428571429,0.428571428571429
2020-02-07,"Africa",0,0.428571428571429,0.428571428571429
2020-02-08,"Africa",0,0.428571428571429,0.428571428571429
2020-02-09,"Africa",0,0,0
2020-02-10,"Africa",0,0,0
2020-02-11,"Africa",0,0,0
2020-02-12,"Africa",0,0,0
2020-02-13,"Africa",0,0,0
2020-02-14,"Africa",0,0,0
2020-02-15,"Africa",0,0,0
2020-02-16,"Africa",0,0,0
2020-02-17,"Africa",0,0,0
2020-02-18,"Africa",0,0,0
2020-02-19,"Africa",0,0,0
2020-02-20,"Africa",0,0,0
2020-02-21,"Africa",0,0,0
2020-02-22,"Africa",0,0,0
2020-02-23,"Africa",0,0,0
2020-02-24,"Africa",0,0,0
2020-02-25,"Africa",0,0,0
2020-02-26,"Africa",0,0,0
2020-02-27,"Africa",2,0.285714285714286,0.285714285714286
2020-02-28,"Africa",1,0.428571428571429,0.428571428571429
2020-02-29,"Africa",0,0.428571428571429,0.428571428571429
2020-03-01,"Africa",3,0.857142857142857,0.857142857142857
2020-03-02,"Africa",6,1.71428571428571,1.71428571428571
2020-03-03,"Africa",2,2,2
2020-03-04,"Africa",2,2.28571428571429,2.28571428571429
2020-03-05,"Africa",0,2,2
2020-03-06,"Africa",0,1.85714285714286,1.85714285714286
2020-03-07,"Africa",0,1.85714285714286,1.85714285714286
2020-03-08,"Africa",1,1.57142857142857,1.57142857142857
2020-03-09,"Africa",1,0.857142857142857,0.857142857142857
2020-03-10,"Africa",2,0.857142857142857,0.857142857142857
2020-03-11,"Africa",5,1.28571428571429,1.28571428571429
2020-03-12,"Africa",5,2,2
2020-03-13,"Africa",6,2.85714285714286,2.85714285714286
2020-03-14,"Africa",4,3.42857142857143,3.42857142857143
2020-03-15,"Africa",4,3.85714285714286,3.85714285714286
2020-03-16,"Africa",4,4.28571428571429,4.28571428571429
2020-03-17,"Africa",17,6.42857142857143,6.42857142857143
2020-03-18,"Africa",15,7.85714285714286,7.85714285714286
2020-03-19,"Africa",8,8.28571428571429,8.28571428571429
2020-03-20,"Africa",23,10.7142857142857,10.7142857142857
2020-03-21,"Africa",17,12.5714285714286,12.5714285714286
2020-03-22,"Africa",18,14.5714285714286,14.5714285714286
2020-03-23,"Africa",8,15.1428571428571,15.1428571428571
2020-03-24,"Africa",15,14.8571428571429,14.8571428571429
2020-03-25,"Africa",27,16.5714285714286,16.5714285714286
2020-03-26,"Africa",20,18.2857142857143,18.2857142857143
2020-03-27,"Africa",22,18.1428571428571,18.1428571428571
2020-03-28,"Africa",16,18,18
2020-03-29,"Africa",20,18.2857142857143,18.2857142857143
2020-03-30,"Africa",18,19.7142857142857,19.7142857142857
2020-03-31,"Africa",12,19.2857142857143,19.2857142857143
2020-04-01,"Africa",10,16.8571428571429,16.8571428571429
2020-04-02,"Africa",11,15.5714285714286,15.5714285714286
2020-04-03,"Africa",13,14.2857142857143,14.2857142857143
2020-04-04,"Africa",9,13.2857142857143,13.2857142857143
2020-04-05,"Africa",12,12.1428571428571,12.1428571428571
2020-04-06,"Africa",11,11.1428571428571,11.1428571428571
2020-04-07,"Africa",20,12.2857142857143,12.2857142857143
2020-04-08,"Africa",15,13,13
2020-04-09,"Africa",8,12.5714285714286,12.5714285714286
2020-04-10,"Africa",14,12.7142857142857,12.7142857142857
2020-04-11,"Africa",9,12.7142857142857,12.7142857142857
2020-04-12,"Africa",19,13.7142857142857,13.7142857142857
2020-04-13,"Africa",15,14.2857142857143,14.2857142857143
2020-04-14,"Africa",16,13.7142857142857,13.7142857142857
2020-04-15,"Africa",12,13.2857142857143,13.2857142857143
2020-04-16,"Africa",11,13.7142857142857,13.7142857142857
2020-04-17,"Africa",10,13.1428571428571,13.1428571428571
2020-04-18,"Africa",11,13.4285714285714,13.4285714285714
2020-04-19,"Africa",17,13.1428571428571,13.1428571428571
2020-04-20,"Africa",28,15,15
2020-04-21,"Africa",21,15.7142857142857,15.7142857142857
2020-04-22,"Africa",20,16.8571428571429,16.8571428571429
2020-04-23,"Africa",28,19.2857142857143,19.2857142857143
2020-04-24,"Africa",26,21.5714285714286,21.5714285714286
2020-04-25,"Africa",37,25.2857142857143,25.2857142857143
2020-04-26,"Africa",18,25.4285714285714,25.4285714285714
2020-04-27,"Africa",23,24.7142857142857,24.7142857142857
2020-04-28,"Africa",20,24.5714285714286,24.5714285714286
2020-04-29,"Africa",21,24.7142857142857,24.7142857142857
2020-04-30,"Africa",39,26.2857142857143,26.2857142857143
2020-05-01,"Africa",19,25.2857142857143,25.2857142857143
2020-05-02,"Africa",32,24.5714285714286,24.5714285714286
2020-05-03,"Africa",9,23.2857142857143,23.2857142857143
2020-05-04,"Africa",21,23,23
2020-05-05,"Africa",36,25.2857142857143,25.2857142857143
2020-05-06,"Africa",21,25.2857142857143,25.2857142857143
2020-05-07,"Africa",33,24.4285714285714,24.4285714285714
2020-05-08,"Africa",46,28.2857142857143,28.2857142857143
2020-05-09,"Africa",36,28.8571428571429,28.8571428571429
2020-05-10,"Africa",32,32.1428571428571,32.1428571428571
2020-05-11,"Africa",44,35.4285714285714,35.4285714285714
2020-05-12,"Africa",29,34.4285714285714,34.4285714285714
2020-05-13,"Africa",34,36.2857142857143,36.2857142857143
2020-05-14,"Africa",38,37,37
2020-05-15,"Africa",21,33.4285714285714,33.4285714285714
2020-05-16,"Africa",27,32.1428571428571,32.1428571428571
2020-05-17,"Africa",16,29.8571428571429,29.8571428571429
2020-05-18,"Africa",16,25.8571428571429,25.8571428571429
2020-05-19,"Africa",13,23.5714285714286,23.5714285714286
2020-05-20,"Africa",23,22,22
2020-05-21,"Africa",8,17.7142857142857,17.7142857142857
2020-05-22,"Africa",30,19,19
2020-05-23,"Africa",30,19.4285714285714,19.4285714285714
2020-05-24,"Africa",36,22.2857142857143,22.2857142857143
2020-05-25,"Africa",49,27,27
2020-05-26,"Africa",19,27.8571428571429,27.8571428571429
2020-05-27,"Africa",42,30.5714285714286,30.5714285714286
2020-05-28,"Africa",4,30,30
2020-05-29,"Africa",19,28.4285714285714,28.4285714285714
2020-05-30,"Africa",31,28.5714285714286,28.5714285714286
2020-05-31,"Africa",13,25.2857142857143,25.2857142857143
2020-06-01,"Africa",13,20.1428571428571,20.1428571428571
2020-06-02,"Africa",22,20.5714285714286,20.5714285714286
2020-06-03,"Africa",34,19.4285714285714,19.4285714285714
2020-06-04,"Africa",29,23,23
2020-06-05,"Africa",10,21.7142857142857,21.7142857142857
2020-06-06,"Africa",20,20.1428571428571,20.1428571428571
2020-06-07,"Africa",23,21.5714285714286,21.5714285714286
2020-06-08,"Africa",20,22.5714285714286,22.5714285714286
2020-06-09,"Africa",39,25,25
2020-06-10,"Africa",30,24.4285714285714,24.4285714285714
2020-06-11,"Africa",20,23.1428571428571,23.1428571428571
2020-06-12,"Africa",37,27,27
2020-06-13,"Africa",27,28,28
2020-06-14,"Africa",22,27.8571428571429,27.8571428571429
2020-06-15,"Africa",31,29.4285714285714,29.4285714285714
2020-06-16,"Africa",15,26,26
2020-06-17,"Africa",28,25.7142857142857,25.7142857142857
2020-06-18,"Africa",20,25.7142857142857,25.7142857142857
2020-06-19,"Africa",27,24.2857142857143,24.2857142857143
2020-06-20,"Africa",20,23.2857142857143,23.2857142857143
2020-06-21,"Africa",37,25.4285714285714,25.4285714285714
2020-06-22,"Africa",15,23.1428571428571,23.1428571428571
2020-06-23,"Africa",39,26.5714285714286,26.5714285714286
2020-06-24,"Africa",32,27.1428571428571,27.1428571428571
2020-06-25,"Africa",8,25.4285714285714,25.4285714285714
2020-06-26,"Africa",30,25.8571428571429,25.8571428571429
2020-06-27,"Africa",18,25.5714285714286,25.5714285714286
2020-06-28,"Africa",19,23,23
2020-06-29,"Africa",33,25.5714285714286,25.5714285714286
2020-06-30,"Africa",50,27.1428571428571,27.1428571428571
2020-07-01,"Africa",36,27.7142857142857,27.7142857142857
2020-07-02,"Africa",17,29,29
2020-07-03,"Africa",13,26.5714285714286,26.5714285714286
2020-07-04,"Africa",28,28,28
2020-07-05,"Africa",10,26.7142857142857,26.7142857142857
2020-07-06,"Africa",30,26.2857142857143,26.2857142857143
2020-07-07,"Africa",27,23,23
