"","date","var.WHO","total","avgtotal","avgtotal_mod","prop","avgtotal_cases","avgVOC_cases"
"1",2019-12-30,"Alpha",0,NA,0,0,0,0
"2",2019-12-31,"Alpha",0,NA,0,0,0,0
"3",2020-01-01,"Alpha",0,NA,0,0,0,0
"4",2020-01-02,"Alpha",0,NA,0,0,0,0
"5",2020-01-03,"Alpha",0,NA,0,0,0,0
"6",2020-01-04,"Alpha",0,NA,0,0,0,0
"7",2020-01-05,"Alpha",0,0,0,0,0,0
"8",2020-01-06,"Alpha",0,0,0,0,0,0
"9",2020-01-07,"Alpha",0,0,0,0,0,0
"10",2020-01-08,"Alpha",0,0,0,0,0,0
"11",2020-01-09,"Alpha",0,0,0,0,0,0
"12",2020-01-10,"Alpha",0,0,0,0,0,0
"13",2020-01-11,"Alpha",0,0,0,0,0,0
"14",2020-01-12,"Alpha",0,0,0,0,0,0
"15",2020-01-13,"Alpha",0,0,0,0,0,0
"16",2020-01-14,"Alpha",0,0,0,0,0,0
"17",2020-01-15,"Alpha",0,0,0,0,0,0
"18",2020-01-16,"Alpha",0,0,0,0,0,0
"19",2020-01-17,"Alpha",0,0,0,0,0,0
"20",2020-01-18,"Alpha",0,0,0,0,0,0
"21",2020-01-19,"Alpha",0,0,0,0,0,0
"22",2020-01-20,"Alpha",0,0,0,0,0,0
"23",2020-01-21,"Alpha",0,0,0,0,0,0
"24",2020-01-22,"Alpha",0,0,0,0,0,0
"25",2020-01-23,"Alpha",0,0,0,0,0,0
"26",2020-01-24,"Alpha",0,0,0,0,0,0
"27",2020-01-25,"Alpha",0,0,0,0,0,0
"28",2020-01-26,"Alpha",0,0,0,0,0,0
"29",2020-01-27,"Alpha",0,0,0,0,0,0
"30",2020-01-28,"Alpha",0,0,0,0,797.142857142857,0
"31",2020-01-29,"Alpha",0,0,0,0,801.714285714285,0
"32",2020-01-30,"Alpha",0,0,0,0,1082.85714285715,0
"33",2020-01-31,"Alpha",0,0,0,0,1283.28571428571,0
"34",2020-02-01,"Alpha",0,0,0,0,1514.42857142857,0
"35",2020-02-02,"Alpha",0,0,0,0,2095.28571428571,0
"36",2020-02-03,"Alpha",0,0,0,0,2422.57142857143,0
"37",2020-02-04,"Alpha",0,0,0,0,2617,0
"38",2020-02-05,"Alpha",0,0,0,0,3067.85714285714,0
"39",2020-02-06,"Alpha",0,0,0,0,3224.14285714286,0
"40",2020-02-07,"Alpha",0,0,0,0,3487.42857142857,0
"41",2020-02-08,"Alpha",0,0,0,0,3576,0
"42",2020-02-09,"Alpha",0,0,0,0,3330.14285714286,0
"43",2020-02-10,"Alpha",0,0,0,0,3249.85714285714,0
"44",2020-02-11,"Alpha",0,0,0,0,2968.57142857143,0
"45",2020-02-12,"Alpha",0,0,0,0,2487.57142857143,0
"46",2020-02-13,"Alpha",0,0,0,0,4200.42857142857,0
"47",2020-02-14,"Alpha",0,0,0,0,4622.14285714286,0
"48",2020-02-15,"Alpha",0,0,0,0,4528.57142857143,0
"49",2020-02-16,"Alpha",0,0,0,0,4397.85714285714,0
"50",2020-02-17,"Alpha",0,0,0,0,4311.85714285714,0
"51",2020-02-18,"Alpha",0,0,0,0,4276.28571428572,0
"52",2020-02-19,"Alpha",0,0,0,0,4282.42857142857,0
"53",2020-02-20,"Alpha",0,0,0,0,2196.14285714286,0
"54",2020-02-21,"Alpha",0,0,0,0,1359.71428571429,0
"55",2020-02-22,"Alpha",0,0,0,0,1314.85714285714,0
"56",2020-02-23,"Alpha",0,0,0,0,1059.42857142857,0
"57",2020-02-24,"Alpha",0,0,0,0,864,0
"58",2020-02-25,"Alpha",0,0,0,0,729.714285714286,0
"59",2020-02-26,"Alpha",0,0,0,0,806.428571428571,0
"60",2020-02-27,"Alpha",0,0,0,0,920.142857142857,0
"61",2020-02-28,"Alpha",0,0,0,0,1033.57142857143,0
"62",2020-02-29,"Alpha",0,0,0,0,1049.14285714286,0
"63",2020-03-01,"Alpha",0,0,0,0,1342.57142857143,0
"64",2020-03-02,"Alpha",0,0,0,0,1544.28571428571,0
"65",2020-03-03,"Alpha",0,0,0,0,1795.28571428571,0
"66",2020-03-04,"Alpha",0,0,0,0,1990.14285714286,0
"67",2020-03-05,"Alpha",0,0,0,0,2185.42857142857,0
"68",2020-03-06,"Alpha",0,0,0,0,2543.42857142857,0
"69",2020-03-07,"Alpha",0,0,0,0,2866.28571428572,0
"70",2020-03-08,"Alpha",0,0,0,0,3077,0
"71",2020-03-09,"Alpha",0,0,0,0,3411.71428571428,0
"72",2020-03-10,"Alpha",0,0,0,0,3722.42857142857,0
"73",2020-03-11,"Alpha",0,0,0,0,4458.71428571429,0
