"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Other",0.66,0.84,0.43,155.59,0.03
"2","Alpha",0.66,0.91,0.42,197.7,0.08
"3","Zeta",0.32,0.75,0.05,8.49,0.03
"4","Gamma",0.58,0.89,0.32,142.29,0.07
"5","Epsilon",0.57,0.64,0.31,0.33,0.13
"6","Eta",0.77,0.88,0.58,11.07,0.07
"7","Beta",0.95,0.88,0.9,7.77,0.06
"8","Delta",0.58,0.88,0.33,284,0.17
"9","Kappa",0.7,0.9,0.44,5.03,0.15
"10","Iota",0.82,0.86,0.66,7.49,0.02
"11","Mu",0.93,0.89,0.85,-2.14,0.37
"12","BA.1",0.19,0.73,0.01,451.03,0.01
"13","BA.1.1",0.51,0.67,0.24,291.72,0.01
"14","BA.2",0.58,0.73,0.29,16.5,0.01
