"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Other",0.57,0.78,0.33,882.19,0
"2","Alpha",0.6,0.86,0.36,1974.13,0.02
"3","Zeta",0.86,0.71,0.74,18.02,0
"4","Gamma",0.71,0.83,0.51,256.62,0
"5","Epsilon",0.79,0.72,0.62,143.38,0.02
"6","Eta",0.64,0.78,0.41,30,0.01
"7","Beta",0.7,0.79,0.49,105.18,0
"8","Delta",0.47,0.83,0.21,8309.94,0.02
"9","Kappa",0.9,0.77,0.8,23.33,0
"10","Iota",0.87,0.85,0.76,-163.01,0.06
"11","Mu",0.41,0.85,0.16,99.81,0
"12","BA.1",0.54,0.82,0.29,2801.05,0.01
"13","BA.1.1",0.64,0.84,0.4,1419.45,0.01
"14","BA.2",0.13,0.86,0,4639.37,0
