"Variant","var.type","var.WHO","var.clade","var.lin","var.origin","first.glob.date","first.can.date"
"","Other","Other",NA,NA,"","2019-12-24","2020-02-16"
"VOC Alpha GRY (B.1.1.7+Q.*) first detected in the UK","VOC","Alpha","GRY","B.1.1.7+Q.*","first detected in the UK","2020-09-01","2020-11-06"
"VOI Zeta GR/484K.V2 (P.2) first detected in Brazil","VOI","Zeta","GR/484K.V2","P.2","first detected in Brazil","2020-04-13","2020-11-24"
"VOC Gamma GR/501Y.V3 (P.1+P.1.*) first detected in Brazil/Japan","VOC","Gamma","GR/501Y.V3","P.1+P.1.*","first detected in Brazil/Japan","2020-09-22","2020-12-04"
"VOI Epsilon GH/452R.V1 (B.1.429+B.1.427) first detected in USA/California","VOI","Epsilon","GH/452R.V1","B.1.429+B.1.427","first detected in USA/California","2020-04-11","2020-12-05"
"VOI Eta G/484K.V3 (B.1.525) first detected in UK/Nigeria","VOI","Eta","G/484K.V3","B.1.525","first detected in UK/Nigeria"," 2020-03-25","2020-12-14"
"VOC Beta GH/501Y.V2 (B.1.351+B.1.351.2+B.1.351.3) first detected in South Africa","VOC","Beta","GH/501Y.V2","B.1.351+B.1.351.2+B.1.351.3","first detected in South Africa","2020-09-01","2020-12-19"
"VOC Delta GK (B.1.617.2+AY.*) first detected in India","VOC","Delta","GK","B.1.617.2+AY.*","first detected in India","2021-03-01","2021"
"VOI Theta GR/1092K.V1 (P.3) first detected in the Philippines","VOI","Theta","GR/1092K.V1","P.3","first detected in the Philippines","2021-01-15","2021-02-09"
"VOI Lambda GR/452Q.V1 (C.37+C.37.1) first detected in Peru","VOI","Lambda","GR/452Q.V1","C.37+C.37.1","first detected in Peru","2020-07-21","2021-02-15"
"VOI Kappa G/452R.V3 (B.1.617.1) first detected in India","VOI","Kappa","G/452R.V3","B.1.617.1","first detected in India","2020-03-03","2021-02-26"
"VOI Iota GH/253G.V1 (B.1.526) first detected in USA/New York","VOI","Iota","GH/253G.V1","B.1.526","first detected in USA/New York","2020-01-28","2021-03-17"
"VOI Mu GH (B.1.621+B.1.621.1) first detected in Colombia","VOI","Mu","GH","B.1.621+B.1.621.1","first detected in Colombia","2020-09-19","2021-06-08"
"VUM GH/490R (B.1.640+B.1.640.*) first detected in Congo/France","VUM","GH/490R","GH/490R","B.1.640+B.1.640.*","first detected in Congo/France","2021-01-01","2021-10-02"
"VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa","VOC","BA.1","GRA","BA.1","first detected in Botswana/Hong Kong/South Africa","2021-09-02","2021-11-09"
"VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa","VOC","BA.1.1","GRA","BA.1.1","first detected in Botswana/Hong Kong/South Africa","2021-09-09","2021-11-04"
"VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa","VOC","BA.2","GRA","BA.2","first detected in Botswana/Hong Kong/South Africa","2021-09-21","2021-11-29"
