"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"1","2020-02",6.43,15,15,"Other",2.33281493001555,25001,58001,922018.658450564,6.97382850234885e-06,0.000599976000959962,0.000258616230754642
"2","2020-03",5631.54688372093,3469,500,"Other",0.0887855522334984,25001,58001,922018.658450564,0.0061078448164863,0.0199992000319987,0.0598093136325236
"3","2020-04",42786.96,4693,1120,"Other",0.0261761994775978,25001,58001,922018.658450564,0.0464057420181742,0.0447982080716771,0.0809123980621024
"4","2020-05",39920.69,1978,1045,"Other",0.026176902252942,25001,58001,922018.658450564,0.0432970522170191,0.0417983280668773,0.0341028602955121
"5","2020-06",14731.13,873,500,"Other",0.0339417274845854,25001,58001,922018.658450564,0.0159770410988812,0.0199992000319987,0.0150514646299202
"6","2020-07",11775.5,741,500,"Other",0.0424610419939705,25001,58001,922018.658450564,0.0127714335193482,0.0199992000319987,0.0127756417992793
"7","2020-08",12348.16,1465,500,"Other",0.0404918627552607,25001,58001,922018.658450564,0.0133925272409897,0.0199992000319987,0.0252581852037034
"8","2020-09",26312.81,1883,689,"Other",0.026184964661699,25001,58001,922018.658450564,0.028538261952549,0.0275588976440942,0.0324649575007327
"9","2020-10",72183.99,2942,1890,"Other",0.0261830912921272,25001,58001,922018.658450564,0.0782890772745357,0.0755969761209552,0.0507232633920105
"10","2020-11",132988.002117422,5523,3483,"Other",0.0261903325453726,25001,58001,922018.658450564,0.144235695122381,0.139314427422903,0.0952224961638592
"11","2020-12",195895.64281251,5602,5131,"Other",0.0261925172317938,25001,58001,922018.658450564,0.212463859616148,0.205231790728371,0.0965845416458337
"12","2021-01",185940.495088276,9401,4870,"Other",0.0261911747502229,25001,58001,922018.658450564,0.201666737851863,0.194792208311668,0.162083412354959
"13","2021-02",61755.7187766873,5911,1617,"Other",0.0261838098888813,25001,58001,922018.658450564,0.0669788167632818,0.0646774129034839,0.101912035999379
"14","2021-03",40752.1481651268,6926,1068,"Other",0.0262072074255445,25001,58001,922018.658450564,0.0441988324114937,0.0427182912683493,0.119411734280443
"15","2021-04",51350.0795288139,4806,1346,"Other",0.02621222814747,25001,58001,922018.658450564,0.0556931023663955,0.0538378464861406,0.0828606403337873
"16","2021-05",25291.4058320619,1216,663,"Other",0.0262144383907483,25001,58001,922018.658450564,0.0274304707396742,0.0265189392424303,0.0209651557731763
"17","2021-06",1680.99252797791,480,45,"Other",0.0267698988847566,25001,58001,922018.658450564,0.00182316541272905,0.00179992800287988,0.00827571938414855
"18","2021-07",133.543556102336,41,4,"Other",0.0299527743362978,25001,58001,922018.658450564,0.000144838236057775,0.00015999360025599,0.000706884364062689
"19","2021-08",25.5353601960767,9,1,"Other",0.0391613821900833,25001,58001,922018.658450564,2.769505797094e-05,3.99984000639974e-05,0.000155169738452785
"20","2021-09",17.069548070724,1,1,"Other",0.0585838591541331,25001,58001,922018.658450564,1.85132349701134e-05,3.99984000639974e-05,1.72410820503095e-05
"21","2021-10",5.02603632233905,3,1,"Other",0.198963942133752,25001,58001,922018.658450564,5.4511221397463e-06,3.99984000639974e-05,5.17232461509284e-05
