"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"1","2020-01",6864.72222222222,287,287,"Other",0.0418079553271558,25000,942485,109416311.154476,6.27394777779563e-05,0.01148,0.000304514130198359
"2","2020-02",75880.4285714286,952,501,"Other",0.0066024930200334,25000,942485,109416311.154476,0.000693501981293255,0.02004,0.00101009565138968
"3","2020-03",584603.368104346,40971,501,"Other",0.000856991299288198,25000,942485,109416311.154476,0.0053429270456668,0.02004,0.0434712488792925
"4","2020-04",2382316.38423231,45932,520,"Other",0.000218274954343467,25000,942485,109416311.154476,0.0217729546819478,0.0208,0.0487349931298641
"5","2020-05",2775804.54761905,25232,606,"Other",0.000218315082926065,25000,942485,109416311.154476,0.0253692024372866,0.02424,0.026771778861202
"6","2020-06",4103248.21316964,29527,895,"Other",0.000218119878082793,25000,942485,109416311.154476,0.0375012479389529,0.0358,0.0313288805657384
"7","2020-07",6815768.43732218,39969,1487,"Other",0.000218170557534995,25000,942485,109416311.154476,0.0622920693030816,0.05948,0.042408101985708
"8","2020-08",7960383.49984472,37917,1736,"Other",0.000218079945524467,25000,942485,109416311.154476,0.0727531701247548,0.06944,0.0402308790060319
"9","2020-09",8340279.08245403,41396,1819,"Other",0.000218098217339842,25000,942485,109416311.154476,0.0762251897770438,0.07276,0.0439221844379486
"10","2020-10",11307487.629611,69307,2466,"Other",0.000218085580172758,25000,942485,109416311.154476,0.103343710917533,0.09864,0.07353644885595
"11","2020-11",16728161.5938647,90713,3648,"Other",0.000218075368266287,25000,942485,109416311.154476,0.15288544657887,0.14592,0.0962487466644032
"12","2020-12",17689694.3513154,107036,3858,"Other",0.000218093084220707,25000,942485,109416311.154476,0.161673284034779,0.15432,0.113567855191329
"13","2021-01",13811439.8009225,129603,3012,"Other",0.000218080087479281,25000,942485,109416311.154476,0.126228344340938,0.12048,0.137512002843547
"14","2021-02",5844416.47970597,98200,1274,"Other",0.00021798583390212,25000,942485,109416311.154476,0.053414490198401,0.05096,0.104192639670658
"15","2021-03",3354332.49679384,74200,731,"Other",0.000217927113873985,25000,942485,109416311.154476,0.0306566037677702,0.02924,0.0787280434171366
"16","2021-04",2816222.11040988,37526,614,"Other",0.000218022576319677,25000,942485,109416311.154476,0.0257385949196722,0.02456,0.0398160182920683
"17","2021-05",1733413.54649036,18600,377,"Other",0.000217489935257118,25000,942485,109416311.154476,0.0158423687309572,0.01508,0.019735062096479
"18","2021-06",882766.264270835,9954,192,"Other",0.00021749811673942,25000,942485,109416311.154476,0.00806795856080842,0.00768,0.0105614412961479
"19","2021-07",617844.286833451,7686,134,"Other",0.000216883125498774,25000,942485,109416311.154476,0.00564672927020145,0.00536,0.00815503695019019
"20","2021-08",544259.859602123,15522,118,"Other",0.000216808199094938,25000,942485,109416311.154476,0.00497421137542944,0.00472,0.0164692276269649
