"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"1","2021-11",54.6117884984996,31,31,"BA.1",0.567643009912625,21242,21242,622996.452482875,8.76598707438078e-05,0.00145937294040109,0.00145937294040109
"2","2021-12",130147.377610266,9663,9663,"BA.1",0.0742465977988156,21242,21242,622996.452482875,0.208905487489664,0.45490066848696,0.45490066848696
"3","2022-01",414297.725291464,9275,9275,"BA.1",0.0223872819805489,21242,21242,622996.452482875,0.665008161186684,0.436634968458714,0.436634968458714
"4","2022-02",72782.4348569661,2212,2212,"BA.1",0.0303919483368079,21242,21242,622996.452482875,0.116826403371802,0.104133320779588,0.104133320779588
"5","2022-03",5714.3029356801,61,61,"BA.1",0.0106749678283796,21242,21242,622996.452482875,0.00917228808110617,0.00287166933433763,0.00287166933433763
"6","2021-11",54.2376023371598,15,15,"BA.2",0.276560897857446,21920,21920,758055.913932741,7.15482873232648e-05,0.000684306569343066,0.000684306569343066
"7","2021-12",90531.0270982663,4371,4371,"BA.2",0.0482817895709449,21920,21920,758055.913932741,0.119425263274575,0.199406934306569,0.199406934306569
"8","2022-01",474473.866901066,11502,11502,"BA.2",0.0242415880038306,21920,21920,758055.913932741,0.625908799312084,0.524726277372263,0.524726277372263
"9","2022-02",152593.039627702,5496,5496,"BA.2",0.0360173702117029,21920,21920,758055.913932741,0.201295230105204,0.250729927007299,0.250729927007299
"10","2022-03",40403.7427033694,536,536,"BA.2",0.0132660977458235,21920,21920,758055.913932741,0.0532991590208137,0.0244525547445255,0.0244525547445255
"11","2021-11",3.29261544778645,5,5,"BA.1.1",1.5185496391209,817,817,42348.1010765112,7.77511946010899e-05,0.00611995104039168,0.00611995104039168
"12","2021-12",68.3796108058428,4,4,"BA.1.1",0.0584969693869362,817,817,42348.1010765112,0.00161470311696621,0.00489596083231334,0.00489596083231334
"13","2022-01",9687.50266161141,145,145,"BA.1.1",0.014967737823143,817,817,42348.1010765112,0.228758844324774,0.177478580171359,0.177478580171359
"14","2022-02",26954.2509604478,483,483,"BA.1.1",0.0179192514274927,817,817,42348.1010765112,0.636492552800632,0.591187270501836,0.591187270501836
"15","2022-03",5634.67522819838,180,180,"BA.1.1",0.0319450532125084,817,817,42348.1010765112,0.133056148563027,0.2203182374541,0.2203182374541
