variant,boot,string
alpha,1," rate 0.000175478 [0.000168507; 0.000175688], tMRCA 2019-05-01 [2018-10-01; 2019-07-29], objective function 0.231075"
alpha,2,"rate 0.000186897 [0.000178004; 0.000186897], tMRCA 2019-05-30 [2018-12-12; 2019-08-17], objective function 0.219155"
alpha,3,"rate 0.00018004 [0.000172066; 0.000180537], tMRCA 2019-06-24 [2018-12-11; 2019-09-14], objective function 0.229459"
alpha,4,"rate 0.000190143 [0.000182323; 0.000190143], tMRCA 2019-06-01 [2018-12-03; 2019-08-22], objective function 0.216474"
alpha,5,"rate 0.000181387 [0.000172547; 0.000181387], tMRCA 2019-06-14 [2018-12-06; 2019-09-15], objective function 0.225996"
alpha,6,"rate 0.000178141 [0.000169821; 0.000178141], tMRCA 2019-06-07 [2018-12-14; 2019-08-30], objective function 0.213751"
alpha,7,"rate 0.000179846 [0.000171668; 0.000179846], tMRCA 2019-06-19 [2018-10-29; 2019-10-22], objective function 0.217732"
alpha,8," rate 0.000184086 [0.000175944; 0.000184086], tMRCA 2019-05-19 [2019-01-13; 2019-07-31], objective function 0.229094"
alpha,9,"rate 0.000171666 [0.000163682; 0.000171666], tMRCA 2019-05-15 [2018-10-20; 2019-08-17], objective function 0.225083"
alpha,10,"rate 0.000179222 [0.000171068; 0.000179222], tMRCA 2019-04-02 [2018-07-23; 2019-06-26], objective function 0.237901"
beta,1,"rate 0.000200734 [0.000191144; 0.000203782], tMRCA 2019-09-01 [2019-04-04; 2019-12-02], objective function 0.142722"
beta,2,"rate 0.000198635 [0.000185787; 0.000200686], tMRCA 2019-07-18 [2019-03-09; 2019-10-19], objective function 0.145062"
beta,3," rate 0.000198584 [0.00018531; 0.000200732], tMRCA 2019-07-22 [2019-02-20; 2019-10-01], objective function 0.143137"
beta,4,"rate 0.000207826 [0.000196908; 0.000208134], tMRCA 2019-07-21 [2019-03-30; 2019-09-28], objective function 0.146388"
beta,5,"rate 0.000207077 [0.000198282; 0.000208599], tMRCA 2019-06-04 [2018-11-19; 2019-10-02], objective function 0.143746"
beta,6," rate 0.000199012 [0.000190265; 0.000199012], tMRCA 2019-07-06 [2018-11-29; 2019-09-16], objective function 0.14463"
