"trees","ntip.start","modelfit.start","R2.start","BOOT","cutoff","Ntip.residual.out","modelfit.excl.resid.out","R2.excl.resid.out","max.muts","Ntip.pendant.out","modelfit.end","R2.end"
"202208_analysis/ft_betagammaiota_root/gamma_1_mask_root.tre",38519,"y = 4.28e-04 x + -0.863",0.182,"gamma_1",0.001,25,"y = 4.34e-04 x + -0.876",0.227,30,0,"y = 4.34e-04 x + -0.876",0.227
"202208_analysis/ft_betagammaiota_root/gamma_2_mask_root.tre",38519,"y = 4.46e-04 x + -0.9",0.153,"gamma_2",0.001,36,"y = 4.55e-04 x + -0.918",0.24,30,0,"y = 4.55e-04 x + -0.918",0.24
"202208_analysis/ft_betagammaiota_root/gamma_3_mask_root.tre",38519,"y = 4.21e-04 x + -0.85",0.161,"gamma_3",0.001,29,"y = 4.29e-04 x + -0.866",0.224,30,0,"y = 4.29e-04 x + -0.866",0.224
"202208_analysis/ft_betagammaiota_root/gamma_4_mask_root.tre",38519,"y = 3.98e-04 x + -0.803",0.135,"gamma_4",0.001,38,"y = 4.07e-04 x + -0.822",0.211,30,0,"y = 4.07e-04 x + -0.822",0.211
"202208_analysis/ft_betagammaiota_root/gamma_5_mask_root.tre",38519,"y = 4.25e-04 x + -0.858",0.162,"gamma_5",0.001,31,"y = 4.33e-04 x + -0.874",0.226,30,0,"y = 4.33e-04 x + -0.874",0.226
"202208_analysis/ft_betagammaiota_root/gamma_6_mask_root.tre",38519,"y = 4.61e-04 x + -0.931",0.202,"gamma_6",0.001,21,"y = 4.66e-04 x + -0.941",0.239,30,0,"y = 4.66e-04 x + -0.941",0.239
"202208_analysis/ft_betagammaiota_root/gamma_7_mask_root.tre",38519,"y = 4.54e-04 x + -0.917",0.174,"gamma_7",0.001,28,"y = 4.62e-04 x + -0.932",0.25,30,0,"y = 4.62e-04 x + -0.932",0.25
"202208_analysis/ft_betagammaiota_root/gamma_8_mask_root.tre",38519,"y = 4.29e-04 x + -0.865",0.152,"gamma_8",0.001,36,"y = 4.40e-04 x + -0.888",0.24,30,0,"y = 4.40e-04 x + -0.888",0.24
"202208_analysis/ft_betagammaiota_root/gamma_9_mask_root.tre",38519,"y = 4.14e-04 x + -0.836",0.174,"gamma_9",0.001,23,"y = 4.22e-04 x + -0.851",0.225,30,0,"y = 4.22e-04 x + -0.851",0.225
"202208_analysis/ft_betagammaiota_root/gamma_10_mask_root.tre",38519,"y = 4.52e-04 x + -0.911",0.184,"gamma_10",0.001,25,"y = 4.58e-04 x + -0.925",0.243,30,0,"y = 4.58e-04 x + -0.925",0.243
