"trees","ntip.start","modelfit.start","R2.start","BOOT","cutoff","Ntip.residual.out","modelfit.excl.resid.out","R2.excl.resid.out","max.muts","Ntip.pendant.out","modelfit.end","R2.end"
"202208_analysis/ft_etaepsilon_root/eta_1_mask_root.tre",8544,"y = 3.38e-04 x + -0.683",0.000502,"eta_1",0.001,27,"y = 5.29e-04 x + -1.07",0.0958,30,0,"y = 5.29e-04 x + -1.07",0.0958
"202208_analysis/ft_etaepsilon_root/eta_2_mask_root.tre",8544,"y = 3.73e-04 x + -0.753",0.000629,"eta_2",0.001,28,"y = 5.66e-04 x + -1.14",0.12,30,0,"y = 5.66e-04 x + -1.14",0.12
"202208_analysis/ft_etaepsilon_root/eta_3_mask_root.tre",8544,"y = 3.71e-04 x + -0.75",0.000632,"eta_3",0.001,30,"y = 5.64e-04 x + -1.14",0.13,30,1,"y = 5.65e-04 x + -1.14",0.131
"202208_analysis/ft_etaepsilon_root/eta_4_mask_root.tre",8544,"y = 2.44e-04 x + -0.492",0.000206,"eta_4",0.001,30,"y = 4.36e-04 x + -0.88",0.0699,30,1,"y = 4.37e-04 x + -0.882",0.0704
"202208_analysis/ft_etaepsilon_root/eta_5_mask_root.tre",8544,"y = 3.13e-04 x + -0.632",0.000412,"eta_5",0.001,32,"y = 5.08e-04 x + -1.03",0.0887,30,0,"y = 5.08e-04 x + -1.03",0.0887
"202208_analysis/ft_etaepsilon_root/eta_6_mask_root.tre",8544,"y = 3.42e-04 x + -0.69",0.000516,"eta_6",0.001,27,"y = 5.33e-04 x + -1.08",0.113,30,1,"y = 5.34e-04 x + -1.08",0.114
"202208_analysis/ft_etaepsilon_root/eta_7_mask_root.tre",8544,"y = 3.15e-04 x + -0.636",0.000404,"eta_7",0.001,26,"y = 5.10e-04 x + -1.03",0.0923,30,1,"y = 5.10e-04 x + -1.03",0.0928
"202208_analysis/ft_etaepsilon_root/eta_8_mask_root.tre",8544,"y = 2.70e-04 x + -0.545",0.000278,"eta_8",0.001,26,"y = 4.62e-04 x + -0.933",0.0874,30,1,"y = 4.63e-04 x + -0.935",0.0881
"202208_analysis/ft_etaepsilon_root/eta_9_mask_root.tre",8544,"y = 3.61e-04 x + -0.728",0.00059,"eta_9",0.001,31,"y = 5.53e-04 x + -1.12",0.133,30,1,"y = 5.54e-04 x + -1.12",0.134
"202208_analysis/ft_etaepsilon_root/eta_10_mask_root.tre",8544,"y = 3.26e-04 x + -0.658",0.000456,"eta_10",0.001,26,"y = 5.18e-04 x + -1.05",0.0972,30,0,"y = 5.18e-04 x + -1.05",0.0972
