"","Entry.ID","Jurisdiction","Date.announced","Date.implemented","Intervention.category","Intervention..type","Intervention.summary","Primary.source..news.release..or.specific.resource.","Secondary..source","Action","Level","Indigenous..population.group","Date"
"1","CAN196","Can.","2020-10-22",2020-11-02,"Travel","Travel — self-isolation","Who: Intergovernmental Affairs
What: Began a rigorous testing and monitoring program as a strategy to reduce the mandatory quarantine period of 14 days for international travellers at 2 ports of entry into Canada, the Coutts land border crossing and the Calgary International Airport in Alberta: travellers who participate will receive a COVID-19 test upon entry into Canada before proceeding into the required quarantine; once the test comes back negative, they will then be allowed to leave their place of quarantine so long as they commit to getting a second test on day 6 or 7 after arrival, at a community pharmacy participating in the pilot program
Effective until:","https://www.canada.ca/en/intergovernmental-affairs/news/2020/10/new-covid-19-pilot-planned-for-international-travellers.html","Not applicable","Tightening","Federal","No",2020-11-02
"2","CAN204","Can.","2020-11-02",2020-11-02,"Case management","Case management — other","Who: Agriculture and Agri-Food Canada
What: Extended the $50-million Mandatory Isolation Support for Temporary Foreign Workers Program, which helps employers in the farming, fish harvesting and food production and processing sectors with some of the incremental costs incurred to support the safety and health of foreign workers during the 14-day period; under the program, the federal government will provide a maximum support of $1,500 for each temporary foreign worker, to employers who are required to isolate workers under the Quarantine Act; the funding is conditional on employers not being found in violation of the mandatory 14-day isolation protocols or any other public health order
Effective until: 2020-11-30","https://www.canada.ca/en/agriculture-agri-food/news/2020/11/government-of-canada-extends-support-program-for-farmers-and-processors-to-protect-temporary-foreign-workers-health-and-safety-during-pandemic.html","Not applicable","Not applicable","Federal","No",2020-11-02
"3","CAN206","Can.","2020-11-03",2020-11-03,"Public information","Public information — masks","Who: Public Health Agency of Canada
What: Updated guidance to recommend wearing a 3-layer non-medical mask, which includes a middle, filter layer
Effective until: ","https://www.canada.ca/en/public-health/news/2020/11/remarks-from-the-chief-public-health-officer-on-covid-19-november-3-2020.html","https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks/about-non-medical-masks-face-coverings.html#_blank","Not applicable","Federal","No",2020-11-03
"4","CAN207","Can.","2020-11-06",2020-11-06,"Closures/openings","Closures/openings — education","Who: Indigenous Services Canada
What: Announced $120.7 million in funding to help Indigenous early learning and child care facilities safely operate during the pandemic; the investment is expected to support more than 35,000 First Nations, Inuit and Métis Nation children and assist Indigenous communities in addressing their most critical needs, including implementing enhanced cleaning protocols and hiring additional staff
Effective until: ","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-covid-19-update-for-indigenous-peoples-and-communities.html","Not applicable","Easing","Federal","Yes",2020-11-06
"5","CAN208","Can.","2020-11-06",2020-11-06,"Case management","Case management — other","Who: Indigenous Services Canada
What: Announced $59 million for First Nations to adapt their community infrastructure on reserve to implement public health and safety measures in community buildings by adding hand washing stations; buying hand sanitizers, personal protective equipment for staff and cleaning supplies; installing signage and barriers to promote physical distancing; and doing safety checks and upgrades to existing ventilation systems
Effective until: ","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-covid-19-update-for-indigenous-peoples-and-communities.html","Not applicable","Not applicable","Federal","Yes",2020-11-06
"6","CAN209","Can.","2020-11-06",2020-11-06,"Financial and economic","Financial and economic — research and development","Who: Prime Minister
What: Making an additional investment of nearly $28 million through the COVID-19 Exceptional Opportunities Fund and the Canadian Foundation for Innovation to support 79 research projects related to the pandemic
Effective until: ","https://pm.gc.ca/en/news/speeches/2020/11/06/prime-ministers-remarks-additional-investments-businesses-and-science","Not applicable","Not applicable","Federal","No",2020-11-06
"7","CAN210","Can.","2020-11-10",2020-11-10,"Case management","Case management — other","Who: Public Services and Procurement Canada
What: Announced that the Government of Canada has signed an agreement with BD (Becton, Dickinson and Company) to purchase 7.6 million rapid, point-of-care, SARS-CoV-2 antigen tests for use on the BD Veritor™ Plus System and up to 2,172 analysers
Effective until: ","https://www.canada.ca/en/public-services-procurement/news/2020/11/government-of-canada-signs-another-agreement-for-covid-19-antigen-rapid-tests.html","Not applicable","Not applicable","Federal","No",2020-11-10
"8","CAN211","Can.","2020-11-10",2020-11-10,"Health workforce","Health workforce — supply management ","Who: Indigenous Services Canada
What: Provided $61.4 million in immediate funding to the Manitoba First Nations Provincial Coordination Response Team and regional First Nations organizations and partners to support their pandemic response; part of the funding announced will be used to staff additional primary care nurses, public health nurses, paramedics and community workers; and immediate support to 8 on-reserve personal care homes to support the adaptation of the visitation rooms, the hiring of additional staff and the implementation of greater infection prevention and control measures; and immediate support to First Nations with active cases for perimeter security, food security and surge capacity as needed
Effective until: ","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-is-providing-immediate-assistance-to-first-nations-in-manitoba-to-address-the-covid-19-pandemic.html","Not applicable","Not applicable","Provincial/territorial","Yes",2020-11-10
"9","CAN212","Can.","2020-11-10",2020-11-10,"Case management","Case management — assessment centres","Who: Indigenous Services Canada
What: Announced deployment of an additional 12 temporary structures and 3 drive-through testing sites to Manitoba First Nations in support of testing and will also provide additional support for contact tracing; will also partner with the Province of Manitoba and the Public Health Agency of Canada's National Microbiology Laboratory to support rapid testing
Effective until: ","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-is-providing-immediate-assistance-to-first-nations-in-manitoba-to-address-the-covid-19-pandemic.html","Not applicable","Not applicable","Provincial/territorial","Yes",2020-11-10
"10","CAN215","Can.","2020-11-19",2020-11-19,"Financial and economic","Financial and economic — assistance","Who: Department of Finance Canada
What: Extended the Canada Emergency Wage Subsidy until June 2021; will remain at the current rate of up to 65% of eligible wages
Effective until: ","https://www.canada.ca/en/department-finance/news/2020/11/new-targeted-support-to-help-businesses-through-pandemic-receives-royal-assent.html","Not applicable","Not applicable","Federal","No",2020-11-19
