date,Canada,Atlantic region*,Quebec,Ontario,Prairies region*,British Columbia,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Manitoba,Saskatchewan,Alberta
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-05,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-06,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-07,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-08,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-09,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-10,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-11,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-12,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-13,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-14,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-15,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-16,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-17,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-18,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-19,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-20,0.1438125,0,0,0,0.6132691,0,0,0,0,0,0,3.4722223,0
2020-01-21,0.514206,0,0,0,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-22,2.1075103,0,0,4.1666665,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-23,2.1075103,0,0,4.1666665,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-24,2.1075103,0,0,4.1666665,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-25,2.1075103,0,0,4.1666665,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-26,3.7008145,0,0,8.333333,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-27,3.7008145,0,0,8.333333,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-28,3.7008145,0,0,8.333333,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-29,3.7008145,0,0,8.333333,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-30,3.7008145,0,0,8.333333,0.6132691,2.7777777,0,0,0,0,0,3.4722223,0
2020-01-31,3.9731524,0,0,8.333333,1.7746172,2.7777777,0,0,0,0,8.333333,3.4722223,0
2020-02-01,3.9731524,0,0,8.333333,1.7746172,2.7777777,0,0,0,0,8.333333,3.4722223,0
