"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"The Bank of Canada COVID-19 stringency index: measuring policy response across provinces"

"LINK"
"https://www.bankofcanada.ca/?p=219486"

"SERIES"
"id","label","description"
"SAN_LYOJ20210218_C1_S1","OxCGRT",""
"SAN_LYOJ20210218_C1_S2","Bank of Canada stringency index",""
"SAN_LYOJ20210218_C2_S1","Canada"," "
"SAN_LYOJ20210218_C2_S2","Atlantic region*"," "
"SAN_LYOJ20210218_C2_S3","Quebec"," "
"SAN_LYOJ20210218_C2_S4","Ontario"," "
"SAN_LYOJ20210218_C2_S5","Prairies region*"," "
"SAN_LYOJ20210218_C2_S6","British Columbia"," "

"OBSERVATIONS"
"date","SAN_LYOJ20210218_C1_S1","SAN_LYOJ20210218_C1_S2","SAN_LYOJ20210218_C2_S1","SAN_LYOJ20210218_C2_S2","SAN_LYOJ20210218_C2_S3","SAN_LYOJ20210218_C2_S4","SAN_LYOJ20210218_C2_S5","SAN_LYOJ20210218_C2_S6"
"2020-01-01","6","0","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000"
"2020-01-02","6","0","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000"
"2020-01-03","6","0","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000"
"2020-01-04","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-05","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-06","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-07","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-08","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-09","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-10","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-11","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-12","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-13","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
"2020-01-14","6","0","0.1438125","0.0000000","0.0000000","0.0000000","0.6132691","0.0000000"
