"","RegionName","meanString","medianString","maxString","minString","meanStringVar","medianStringVar","maxStringVar","minStringVar","meanCV","medianCV","maxCV","minCV","sumAbove","sumBelow","(percAbove = sumAbove/sum(sumAbove, sumBelow)) * 100","(percBelow = sumBelow/sum(sumAbove, sumBelow)) * 100"
"1","Manitoba",67.522,68.98,79.63,31.48,7.08143826761474,7.33384615384615,15.9884615384615,-2.42538461538462,4.00840919316508,4.35554603492273,7.05048319283175,0.316610167056015,92749,20777,6.28449734998015,1.40781034232755
"2","Northwest Territories",66.4542772277228,66.67,78.24,43.52,6.3685811247576,2.09846153846154,26.3523076923077,-7.05307692307692,4.16713351900701,3.11100907285725,9.93666910147163,0.269471046914446,91154,22372,6.17642315755523,1.51588453475246
"3","Newfoundland and Labrador",66.1658217821782,63.89,90.74,33.33,5.49467356173238,6.97615384615384,24.5715384615385,-9.37076923076923,4.69043566762099,4.65362293571396,7.95415728569452,0.640863081090687,98512,15014,6.67498736311167,1.01732032919602
"4","Nunavut",63.8387605042017,60.65,87.04,47.22,2.76034583063995,3.92076923076923,24.2907692307692,-11.8961538461538,3.97491195972123,3.75150475753062,7.85438576747459,0.316610167056015,66264,47262,4.48992369081159,3.2023840014961
"5","Ontario",62.364,55.56,90.74,22.22,2.6727617970265,-0.602692307692305,22.7923076923077,-18.45,4.52458759413067,4.61056702540675,7.3131564630396,0.428437193358883,39850,73676,2.70016085776352,4.99214683454417
"6","Prince Edward Island",61.9415445544554,58.33,85.19,52.78,1.20349709114415,2.38307692307692,17.1692307692308,-12.2538461538462,4.36088147225412,4.49337639006693,6.7978970128366,0.857430188548111,86682,26844,5.87340887007924,1.81889882222846
"7","Quebec",61.7091485148515,59.26,75.93,25.93,1.62784583063995,1.81615384615384,10.7584615384615,-8.93846153846154,2.97534516343734,2.8462971319251,5.70096561127816,0.687683202395829,71104,42422,4.81787296437685,2.87443472793084
"8","New Brunswick",60.9857425742574,65.28,85.19,22.22,1.0299886877828,2.10038461538461,18.5938461538462,-20.0861538461538,4.438907529706,4.30280027342438,8.69127821757056,0.329285211253358,70222,43304,4.75811030749987,2.93419738480782
"9","Nova Scotia",58.7172871287129,58.33,81.48,25.93,-1.39828862314156,-0.230769230769226,14.9538461538462,-16.7707692307692,4.02195613993083,4.41275977612665,6.54139362631172,0.29128090873303,67981,45545,4.60626437319001,3.08604331911768
"10","British Columbia",57.4440792079208,55.56,70.37,44.44,-3.23921299288946,-3.34384615384615,5.76846153846154,-12.7130769230769,3.08559263136111,3.20927946363425,5.68548120372277,0.0886846828708988,16634,96892,1.12708847448026,6.56521921782743
"11","Alberta",53.2169900990099,53.7,72.22,24.07,-6.67509534583064,-4.69538461538461,2.92230769230768,-20.6853846153846,4.08652697446091,3.47510204614115,8.13975390222153,0.126500528049838,8360,105166,0.566457836158169,7.12584985614952
"12","Yukon",52.5626534653465,54.63,61.11,35.19,-7.7140869424693,-8.11923076923077,9.75769230769231,-28.5615384615385,4.67867823008945,4.74204789249731,7.92316935239969,1.56588888788401,10220,103306,0.692487928891924,6.99981976341577
"13","Saskatchewan",50.2918811881188,42.59,70.37,22.22,-9.21244828700711,-3.97269230769231,6.15923076923077,-29.4161538461538,4.82410562341201,3.72961970119477,8.88997846228021,0.0421884473453743,15563,97963,1.05451953398679,6.6377881583209
