"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"1",2018-01-01,"2018","Jan","Jan 2018",92,149.741603648063,110.806451612903,99.5851977133276,163.564368480859
"2",2018-01-02,"2018","Jan","Jan 2018",126,149.741603648063,110.806451612903,104.234593080688,158.439686198985
"3",2018-01-03,"2018","Jan","Jan 2018",150,149.741603648063,110.806451612903,108.708445642427,153.537381191576
"4",2018-01-04,"2018","Jan","Jan 2018",109,149.741603648063,110.806451612903,113.009610525551,148.854022972268
"5",2018-01-05,"2018","Jan","Jan 2018",119,149.741603648063,110.806451612903,117.140942856002,144.386181055858
"6",2018-01-06,"2018","Jan","Jan 2018",103,149.741603648063,110.806451612903,121.1052977608,140.130424955964
"7",2018-01-07,"2018","Jan","Jan 2018",80,149.741603648063,110.806451612903,124.905530366602,136.083324186604
"8",2018-01-08,"2018","Jan","Jan 2018",64,149.741603648063,110.806451612903,128.544495800063,132.241448261797
"9",2018-01-09,"2018","Jan","Jan 2018",117,149.741603648063,110.806451612903,132.025049187839,128.60136669556
"10",2018-01-10,"2018","Jan","Jan 2018",124,149.741603648063,110.806451612903,135.350045656856,125.159649001634
"11",2018-01-11,"2018","Jan","Jan 2018",117,149.741603648063,110.806451612903,138.522340333218,121.912864694606
"12",2018-01-12,"2018","Jan","Jan 2018",107,149.741603648063,110.806451612903,141.544788343864,118.857583288201
"13",2018-01-13,"2018","Jan","Jan 2018",148,149.741603648063,110.806451612903,144.420244815449,115.990374296438
"14",2018-01-14,"2018","Jan","Jan 2018",76,149.741603648063,110.806451612903,147.15156487463,113.307807233332
"15",2018-01-15,"2018","Jan","Jan 2018",106,149.741603648063,110.806451612903,149.741603648063,110.806451612903
"16",2018-01-16,"2018","Jan","Jan 2018",93,149.741603648063,110.806451612903,152.1932162626,108.482876948983
"17",2018-01-17,"2018","Jan","Jan 2018",148,149.741603648063,110.806451612903,154.509257844493,106.333652755974
"18",2018-01-18,"2018","Jan","Jan 2018",115,149.741603648063,110.806451612903,156.692583520605,104.355348547694
"19",2018-01-19,"2018","Jan","Jan 2018",152,149.741603648063,110.806451612903,158.746048417593,102.544533838161
"20",2018-01-20,"2018","Jan","Jan 2018",148,149.741603648063,110.806451612903,160.672507662113,100.897778141393
"21",2018-01-21,"2018","Jan","Jan 2018",124,149.741603648063,110.806451612903,162.474816380966,99.4116509712903
"22",2018-01-22,"2018","Jan","Jan 2018",74,149.741603648063,110.806451612903,164.155829700507,98.0827218421177
"23",2018-01-23,"2018","Jan","Jan 2018",124,149.741603648063,110.806451612903,165.718402747549,96.9075602677628
"24",2018-01-24,"2018","Jan","Jan 2018",124,149.741603648063,110.806451612903,167.165390648747,95.8827357622432
"25",2018-01-25,"2018","Jan","Jan 2018",66,149.741603648063,110.806451612903,168.499648530757,95.0048178395768
"26",2018-01-26,"2018","Jan","Jan 2018",153,149.741603648063,110.806451612903,169.724031520235,94.2703760137813
"27",2018-01-27,"2018","Jan","Jan 2018",153,149.741603648063,110.806451612903,170.841394743926,93.6759797988309
"28",2018-01-28,"2018","Jan","Jan 2018",69,149.741603648063,110.806451612903,171.8545933283,93.2181987088416
"29",2018-01-29,"2018","Jan","Jan 2018",69,149.741603648063,110.806451612903,172.76648240011,92.8936022577762
"30",2018-01-30,"2018","Jan","Jan 2018",88,149.741603648063,110.806451612903,173.579917086013,92.6987599596523
"31",2018-01-31,"2018","Jan","Jan 2018",97,149.741603648063,110.806451612903,174.297752512664,92.6302413284879
"32",2018-02-01,"2018","Feb","Feb 2018",75,175.534858928225,104.428571428571,174.92284380672,92.6846158783005
"33",2018-02-02,"2018","Feb","Feb 2018",179,175.534858928225,104.428571428571,175.458046094876,92.8584531231272
"34",2018-02-03,"2018","Feb","Feb 2018",152,175.534858928225,104.428571428571,175.906214503702,93.1483225769568
"35",2018-02-04,"2018","Feb","Feb 2018",84,175.534858928225,104.428571428571,176.2702041599,93.5507937538164
"36",2018-02-05,"2018","Feb","Feb 2018",85,175.534858928225,104.428571428571,176.552870190126,94.0624361677237
"37",2018-02-06,"2018","Feb","Feb 2018",109,175.534858928225,104.428571428571,176.757067721037,94.6798193326967
"38",2018-02-07,"2018","Feb","Feb 2018",42,175.534858928225,104.428571428571,176.885651879289,95.3995127627529
"39",2018-02-08,"2018","Feb","Feb 2018",58,175.534858928225,104.428571428571,176.94147779154,96.218085971982
"40",2018-02-09,"2018","Feb","Feb 2018",156,175.534858928225,104.428571428571,176.927400584435,97.1321084742659
"41",2018-02-10,"2018","Feb","Feb 2018",101,175.534858928225,104.428571428571,176.84627538464,98.1381497836859
"42",2018-02-11,"2018","Feb","Feb 2018",76,175.534858928225,104.428571428571,176.70095731881,99.23277941426
"43",2018-02-12,"2018","Feb","Feb 2018",71,175.534858928225,104.428571428571,176.4943015136,100.412566880006
"44",2018-02-13,"2018","Feb","Feb 2018",81,175.534858928225,104.428571428571,176.229163095644,101.674081695049
"45",2018-02-14,"2018","Feb","Feb 2018",69,175.534858928225,104.428571428571,175.90839719164,103.013893373198
"46",2018-02-15,"2018","Feb","Feb 2018",95,175.534858928225,104.428571428571,175.534858928225,104.428571428571
"47",2018-02-16,"2018","Feb","Feb 2018",171,175.534858928225,104.428571428571,175.11179731839,105.914550574443
"48",2018-02-17,"2018","Feb","Feb 2018",121,175.534858928225,104.428571428571,174.644036920465,107.467726321106
"49",2018-02-18,"2018","Feb","Feb 2018",102,175.534858928225,104.428571428571,174.136796179115,109.08385937811
"50",2018-02-19,"2018","Feb","Feb 2018",64,175.534858928225,104.428571428571,173.595293538958,110.758710455146
"51",2018-02-20,"2018","Feb","Feb 2018",114,175.534858928225,104.428571428571,173.02474744475,112.488040261485
"52",2018-02-21,"2018","Feb","Feb 2018",110,175.534858928225,104.428571428571,172.43037634111,114.267609506813
"53",2018-02-22,"2018","Feb","Feb 2018",83,175.534858928225,104.428571428571,171.817398672705,116.09317890068
"54",2018-02-23,"2018","Feb","Feb 2018",189,175.534858928225,104.428571428571,171.191032884198,117.960509152634
"55",2018-02-24,"2018","Feb","Feb 2018",141,175.534858928225,104.428571428571,170.556497420255,119.865360972225
"56",2018-02-25,"2018","Feb","Feb 2018",92,175.534858928225,104.428571428571,169.919010725487,121.803495069165
"57",2018-02-26,"2018","Feb","Feb 2018",64,175.534858928225,104.428571428571,169.283791244665,123.770672152681
"58",2018-02-27,"2018","Feb","Feb 2018",89,175.534858928225,104.428571428571,168.656057422402,125.762652932482
"59",2018-02-28,"2018","Feb","Feb 2018",151,175.534858928225,104.428571428571,168.041027703361,127.775198118117
"60",2018-03-01,"2018","Mar","Mar 2018",118,163.888616676563,157.548387096774,167.443920532208,129.804068419136
"61",2018-03-02,"2018","Mar","Mar 2018",212,163.888616676563,157.548387096774,166.86995435356,131.845024545257
"62",2018-03-03,"2018","Mar","Mar 2018",234,163.888616676563,157.548387096774,166.324347612179,133.893827205692
"63",2018-03-04,"2018","Mar","Mar 2018",158,163.888616676563,157.548387096774,165.81231875268,135.946237110157
"64",2018-03-05,"2018","Mar","Mar 2018",114,163.888616676563,157.548387096774,165.339086219727,137.998014968204
"65",2018-03-06,"2018","Mar","Mar 2018",177,163.888616676563,157.548387096774,164.909868457987,140.044921489381
"66",2018-03-07,"2018","Mar","Mar 2018",180,163.888616676563,157.548387096774,164.529883912122,142.082717383237
"67",2018-03-08,"2018","Mar","Mar 2018",101,163.888616676563,157.548387096774,164.204351026774,144.10716335949
"68",2018-03-09,"2018","Mar","Mar 2018",186,163.888616676563,157.548387096774,163.938488246662,146.114020127352
"69",2018-03-10,"2018","Mar","Mar 2018",138,163.888616676563,157.548387096774,163.73751401642,148.099048396541
"70",2018-03-11,"2018","Mar","Mar 2018",101,163.888616676563,157.548387096774,163.606646780714,150.058008876607
