"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"1",2018-01-01,"2018","Jan","Jan 2018",152,179.052310849994,150.741935483871,150.665331016741,156.041571307201
"2",2018-01-02,"2018","Jan","Jan 2018",135,179.052310849994,150.741935483871,153.648590858305,155.746784577492
"3",2018-01-03,"2018","Jan","Jan 2018",139,179.052310849994,150.741935483871,156.47296239611,155.436480058814
"4",2018-01-04,"2018","Jan","Jan 2018",151,179.052310849994,150.741935483871,159.141413151505,155.11131571045
"5",2018-01-05,"2018","Jan","Jan 2018",144,179.052310849994,150.741935483871,161.656910645184,154.771949491763
"6",2018-01-06,"2018","Jan","Jan 2018",321,179.052310849994,150.741935483871,164.02242239851,154.419039362037
"7",2018-01-07,"2018","Jan","Jan 2018",209,179.052310849994,150.741935483871,166.240915932619,154.053243280582
"8",2018-01-08,"2018","Jan","Jan 2018",85,179.052310849994,150.741935483871,168.315358768645,153.675219206709
"9",2018-01-09,"2018","Jan","Jan 2018",113,179.052310849994,150.741935483871,170.248718427724,153.285625099727
"10",2018-01-10,"2018","Jan","Jan 2018",147,179.052310849994,150.741935483871,172.043962431135,152.885118918912
"11",2018-01-11,"2018","Jan","Jan 2018",93,179.052310849994,150.741935483871,173.704058299716,152.474358623641
"12",2018-01-12,"2018","Jan","Jan 2018",133,179.052310849994,150.741935483871,175.231973554757,152.054002173191
"13",2018-01-13,"2018","Jan","Jan 2018",166,179.052310849994,150.741935483871,176.630675717393,151.624707526873
"14",2018-01-14,"2018","Jan","Jan 2018",207,179.052310849994,150.741935483871,177.90313230876,151.187132643996
"15",2018-01-15,"2018","Jan","Jan 2018",106,179.052310849994,150.741935483871,179.052310849994,150.741935483871
"16",2018-01-16,"2018","Jan","Jan 2018",126,179.052310849994,150.741935483871,180.081178862309,150.289774005769
"17",2018-01-17,"2018","Jan","Jan 2018",134,179.052310849994,150.741935483871,180.992703866672,149.831306169076
"18",2018-01-18,"2018","Jan","Jan 2018",144,179.052310849994,150.741935483871,181.789853384307,149.367189933065
