"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"1",2018-01-01,"2018","Jan","Jan 2018",86,140.050446255476,129.322580645161,71.2938714965837,144.514623937432
"2",2018-01-02,"2018","Jan","Jan 2018",133,140.050446255476,129.322580645161,77.7452911465923,143.125492654279
"3",2018-01-03,"2018","Jan","Jan 2018",119,140.050446255476,129.322580645161,83.9417716061662,141.783986948873
"4",2018-01-04,"2018","Jan","Jan 2018",106,140.050446255476,129.322580645161,89.8878078372934,140.489892170274
"5",2018-01-05,"2018","Jan","Jan 2018",91,140.050446255476,129.322580645161,95.5878948004923,139.242993667867
"6",2018-01-06,"2018","Jan","Jan 2018",114,140.050446255476,129.322580645161,101.046527457771,138.043076790709
"7",2018-01-07,"2018","Jan","Jan 2018",115,140.050446255476,129.322580645161,106.268200770636,136.889926887968
"8",2018-01-08,"2018","Jan","Jan 2018",87,140.050446255476,129.322580645161,111.25740970059,135.783329308813
"9",2018-01-09,"2018","Jan","Jan 2018",125,140.050446255476,129.322580645161,116.018649209139,134.723069402411
"10",2018-01-10,"2018","Jan","Jan 2018",109,140.050446255476,129.322580645161,120.556414258155,133.708932517849
"11",2018-01-11,"2018","Jan","Jan 2018",106,140.050446255476,129.322580645161,124.87519980839,132.740704004461
"12",2018-01-12,"2018","Jan","Jan 2018",145,140.050446255476,129.322580645161,128.979500821735,131.818169211331
"13",2018-01-13,"2018","Jan","Jan 2018",107,140.050446255476,129.322580645161,132.873812259694,130.941113487625
"14",2018-01-14,"2018","Jan","Jan 2018",121,140.050446255476,129.322580645161,136.562629083773,130.109322182513
"15",2018-01-15,"2018","Jan","Jan 2018",135,140.050446255476,129.322580645161,140.050446255476,129.322580645161
"16",2018-01-16,"2018","Jan","Jan 2018",149,140.050446255476,129.322580645161,143.341758736573,128.580674224679
"17",2018-01-17,"2018","Jan","Jan 2018",145,140.050446255476,129.322580645161,146.441061488024,127.883388270357
"18",2018-01-18,"2018","Jan","Jan 2018",158,140.050446255476,129.322580645161,149.352849471613,127.230508131299
"19",2018-01-19,"2018","Jan","Jan 2018",171,140.050446255476,129.322580645161,152.081617648847,126.621819156674
"20",2018-01-20,"2018","Jan","Jan 2018",166,140.050446255476,129.322580645161,154.631860981229,126.057106695649
"21",2018-01-21,"2018","Jan","Jan 2018",150,140.050446255476,129.322580645161,157.008074430456,125.536156097352
"22",2018-01-22,"2018","Jan","Jan 2018",134,140.050446255476,129.322580645161,159.214752957637,125.058752711036
"23",2018-01-23,"2018","Jan","Jan 2018",129,140.050446255476,129.322580645161,161.256391524482,124.624681885824
"24",2018-01-24,"2018","Jan","Jan 2018",148,140.050446255476,129.322580645161,163.137485092496,124.233728970884
"25",2018-01-25,"2018","Jan","Jan 2018",148,140.050446255476,129.322580645161,164.862528623183,123.885679315385
"26",2018-01-26,"2018","Jan","Jan 2018",123,140.050446255476,129.322580645161,166.436017078048,123.580318268493
"27",2018-01-27,"2018","Jan","Jan 2018",166,140.050446255476,129.322580645161,167.862445418709,123.317431179358
"28",2018-01-28,"2018","Jan","Jan 2018",162,140.050446255476,129.322580645161,169.146308606435,123.09680339719
"29",2018-01-29,"2018","Jan","Jan 2018",128,140.050446255476,129.322580645161,170.292101602853,122.918220271133
"30",2018-01-30,"2018","Jan","Jan 2018",119,140.050446255476,129.322580645161,171.30431936947,122.781467150357
"31",2018-01-31,"2018","Jan","Jan 2018",114,140.050446255476,129.322580645161,172.18745686779,122.686329384028
"32",2018-02-01,"2018","Feb","Feb 2018",138,173.001460970112,126.107142857143,172.946009059317,122.632592321315
"33",2018-02-02,"2018","Feb","Feb 2018",122,173.001460970112,126.107142857143,173.584470905606,122.620041311386
"34",2018-02-03,"2018","Feb","Feb 2018",114,173.001460970112,126.107142857143,174.107337368054,122.648461703412
"35",2018-02-04,"2018","Feb","Feb 2018",109,173.001460970112,126.107142857143,174.519103408225,122.717638846556
"36",2018-02-05,"2018","Feb","Feb 2018",125,173.001460970112,126.107142857143,174.824263987624,122.827358089988
"37",2018-02-06,"2018","Feb","Feb 2018",143,173.001460970112,126.107142857143,175.027314067756,122.977404782876
"38",2018-02-07,"2018","Feb","Feb 2018",139,173.001460970112,126.107142857143,175.132748610125,123.167564274386
"39",2018-02-08,"2018","Feb","Feb 2018",186,173.001460970112,126.107142857143,175.145062576233,123.397621913709
"40",2018-02-09,"2018","Feb","Feb 2018",139,173.001460970112,126.107142857143,175.068750927584,123.667363049973
"41",2018-02-10,"2018","Feb","Feb 2018",97,173.001460970112,126.107142857143,174.908308625687,123.976573032363
"42",2018-02-11,"2018","Feb","Feb 2018",122,173.001460970112,126.107142857143,174.668230632047,124.325037210049
"43",2018-02-12,"2018","Feb","Feb 2018",105,173.001460970112,126.107142857143,174.35301190817,124.712540932198
"44",2018-02-13,"2018","Feb","Feb 2018",103,173.001460970112,126.107142857143,173.967147415524,125.138869548014
"45",2018-02-14,"2018","Feb","Feb 2018",135,173.001460970112,126.107142857143,173.515132115679,125.603808406595
"46",2018-02-15,"2018","Feb","Feb 2018",173,173.001460970112,126.107142857143,173.001460970112,126.107142857143
"47",2018-02-16,"2018","Feb","Feb 2018",121,173.001460970112,126.107142857143,172.430777260064,126.648328428486
"48",2018-02-17,"2018","Feb","Feb 2018",136,173.001460970112,126.107142857143,171.808317545732,127.225501368099
"49",2018-02-18,"2018","Feb","Feb 2018",124,173.001460970112,126.107142857143,171.13946670705,127.836468103116
"50",2018-02-19,"2018","Feb","Feb 2018",102,173.001460970112,126.107142857143,170.42960962389,128.479035060727
"51",2018-02-20,"2018","Feb","Feb 2018",118,173.001460970112,126.107142857143,169.684131176306,129.15100866796
"52",2018-02-21,"2018","Feb","Feb 2018",159,173.001460970112,126.107142857143,168.908416244173,129.850195352002
"53",2018-02-22,"2018","Feb","Feb 2018",134,173.001460970112,126.107142857143,168.107849707426,130.574401539987
"54",2018-02-23,"2018","Feb","Feb 2018",109,173.001460970112,126.107142857143,167.287816445998,131.321433659051
"55",2018-02-24,"2018","Feb","Feb 2018",104,173.001460970112,126.107142857143,166.453701339824,132.089098136329
"56",2018-02-25,"2018","Feb","Feb 2018",122,173.001460970112,126.107142857143,165.610889268766,132.87520139902
"57",2018-02-26,"2018","Feb","Feb 2018",111,173.001460970112,126.107142857143,164.7647651129,133.677549874131
"58",2018-02-27,"2018","Feb","Feb 2018",117,173.001460970112,126.107142857143,163.920713752089,134.49394998886
"59",2018-02-28,"2018","Feb","Feb 2018",124,173.001460970112,126.107142857143,163.084120066267,135.322208170341
"60",2018-03-01,"2018","Mar","Mar 2018",150,155.091854132694,147.677419354839,162.260368935369,136.160130845711
"61",2018-03-02,"2018","Mar","Mar 2018",124,155.091854132694,147.677419354839,161.454845239262,137.005524442174
"62",2018-03-03,"2018","Mar","Mar 2018",147,155.091854132694,147.677419354839,160.672933858013,137.856195386724
"63",2018-03-04,"2018","Mar","Mar 2018",165,155.091854132694,147.677419354839,159.92001967149,138.709950106567
"64",2018-03-05,"2018","Mar","Mar 2018",118,155.091854132694,147.677419354839,159.201487559627,139.564595028837
"65",2018-03-06,"2018","Mar","Mar 2018",159,155.091854132694,147.677419354839,158.522722402356,140.417936580669
"66",2018-03-07,"2018","Mar","Mar 2018",158,155.091854132694,147.677419354839,157.889109079612,141.267781189198
"67",2018-03-08,"2018","Mar","Mar 2018",203,155.091854132694,147.677419354839,157.306032471283,142.111935281629
"68",2018-03-09,"2018","Mar","Mar 2018",173,155.091854132694,147.677419354839,156.7788774574,142.948205284957
"69",2018-03-10,"2018","Mar","Mar 2018",120,155.091854132694,147.677419354839,156.313028917846,143.774397626386
"70",2018-03-11,"2018","Mar","Mar 2018",136,155.091854132694,147.677419354839,155.913871732555,144.588318733052
"71",2018-03-12,"2018","Mar","Mar 2018",151,155.091854132694,147.677419354839,155.58679078146,145.387775032089
