"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"1",2018-01-01,"2018","Jan","Jan 2018",18,16.8137229520249,12.2903225806452,12.2246383531114,16.0169374792066
"2",2018-01-02,"2018","Jan","Jan 2018",17,16.8137229520249,12.2903225806452,12.6518023868679,15.6398884705517
"3",2018-01-03,"2018","Jan","Jan 2018",7,16.8137229520249,12.2903225806452,13.0626394564494,15.2810846501814
"4",2018-01-04,"2018","Jan","Jan 2018",19,16.8137229520249,12.2903225806452,13.4574092922896,14.9402286529275
"5",2018-01-05,"2018","Jan","Jan 2018",13,16.8137229520249,12.2903225806452,13.8363716247248,14.6170231137055
"6",2018-01-06,"2018","Jan","Jan 2018",8,16.8137229520249,12.2903225806452,14.19978618419,14.3111706673456
"7",2018-01-07,"2018","Jan","Jan 2018",20,16.8137229520249,12.2903225806452,14.547912701087,14.0223739487069
"8",2018-01-08,"2018","Jan","Jan 2018",9,16.8137229520249,12.2903225806452,14.8810109058173,13.7503355926485
"9",2018-01-09,"2018","Jan","Jan 2018",10,16.8137229520249,12.2903225806452,15.1993405287827,13.4947582340297
"10",2018-01-10,"2018","Jan","Jan 2018",12,16.8137229520249,12.2903225806452,15.5031613004095,13.2553445076903
"11",2018-01-11,"2018","Jan","Jan 2018",11,16.8137229520249,12.2903225806452,15.792732951049,13.0317970485292
"12",2018-01-12,"2018","Jan","Jan 2018",11,16.8137229520249,12.2903225806452,16.0683152111285,12.823818491385
"13",2018-01-13,"2018","Jan","Jan 2018",13,16.8137229520249,12.2903225806452,16.3301678110499,12.6311114711169
"14",2018-01-14,"2018","Jan","Jan 2018",17,16.8137229520249,12.2903225806452,16.5785504812148,12.4533786225839
"15",2018-01-15,"2018","Jan","Jan 2018",15,16.8137229520249,12.2903225806452,16.8137229520249,12.2903225806452
"16",2018-01-16,"2018","Jan","Jan 2018",9,16.8137229520249,12.2903225806452,17.0359449538997,12.1416459801482
"17",2018-01-17,"2018","Jan","Jan 2018",16,16.8137229520249,12.2903225806452,17.2454762172041,12.0070514559767
"18",2018-01-18,"2018","Jan","Jan 2018",13,16.8137229520249,12.2903225806452,17.4425764723588,11.8862416429769
"19",2018-01-19,"2018","Jan","Jan 2018",16,16.8137229520249,12.2903225806452,17.6275054497653,11.7789191760079
"20",2018-01-20,"2018","Jan","Jan 2018",14,16.8137229520249,12.2903225806452,17.8005228798255,11.6847866899289
"21",2018-01-21,"2018","Jan","Jan 2018",17,16.8137229520249,12.2903225806452,17.9618884929538,11.6035468195929
"22",2018-01-22,"2018","Jan","Jan 2018",6,16.8137229520249,12.2903225806452,18.1118620195252,11.5349021998723
"23",2018-01-23,"2018","Jan","Jan 2018",8,16.8137229520249,12.2903225806452,18.2507031899553,11.4785554656191
"24",2018-01-24,"2018","Jan","Jan 2018",12,16.8137229520249,12.2903225806452,18.3786717346457,11.4342092516924
"25",2018-01-25,"2018","Jan","Jan 2018",6,16.8137229520249,12.2903225806452,18.4960273839981,11.4015661929513
"26",2018-01-26,"2018","Jan","Jan 2018",12,16.8137229520249,12.2903225806452,18.6030298684142,11.3803289242551
"27",2018-01-27,"2018","Jan","Jan 2018",13,16.8137229520249,12.2903225806452,18.6999389183033,11.3702000804623
"28",2018-01-28,"2018","Jan","Jan 2018",9,16.8137229520249,12.2903225806452,18.7870142640511,11.3708822964339
"29",2018-01-29,"2018","Jan","Jan 2018",10,16.8137229520249,12.2903225806452,18.8645156360675,11.3820782070277
"30",2018-01-30,"2018","Jan","Jan 2018",8,16.8137229520249,12.2903225806452,18.9327027647544,11.4034904471028
"31",2018-01-31,"2018","Jan","Jan 2018",12,16.8137229520249,12.2903225806452,18.9918353805134,11.4348216515184
"32",2018-02-01,"2018","Feb","Feb 2018",5,18.9688997386804,12.8928571428571,19.0421732137461,11.4757744551335
"33",2018-02-02,"2018","Feb","Feb 2018",14,18.9688997386804,12.8928571428571,19.0839759948575,11.526051492812
"34",2018-02-03,"2018","Feb","Feb 2018",11,18.9688997386804,12.8928571428571,19.1175034542422,11.5853553994045
"35",2018-02-04,"2018","Feb","Feb 2018",21,18.9688997386804,12.8928571428571,19.1430153223057,11.6533888097739
"36",2018-02-05,"2018","Feb","Feb 2018",25,18.9688997386804,12.8928571428571,19.1607713294498,11.7298543587795
"37",2018-02-06,"2018","Feb","Feb 2018",5,18.9688997386804,12.8928571428571,19.171031206076,11.8144546812804
"38",2018-02-07,"2018","Feb","Feb 2018",8,18.9688997386804,12.8928571428571,19.1740546825862,11.9068924121356
"39",2018-02-08,"2018","Feb","Feb 2018",7,18.9688997386804,12.8928571428571,19.1701014893812,12.006870186213
"40",2018-02-09,"2018","Feb","Feb 2018",15,18.9688997386804,12.8928571428571,19.1594313568636,12.1140906383551
"41",2018-02-10,"2018","Feb","Feb 2018",5,18.9688997386804,12.8928571428571,19.1423040154349,12.2282564034289
"42",2018-02-11,"2018","Feb","Feb 2018",16,18.9688997386804,12.8928571428571,19.1189791954969,12.3490701162937
"43",2018-02-12,"2018","Feb","Feb 2018",10,18.9688997386804,12.8928571428571,19.0897166274511,12.4762344118086
"44",2018-02-13,"2018","Feb","Feb 2018",13,18.9688997386804,12.8928571428571,19.0547760416962,12.6094519248439
"45",2018-02-14,"2018","Feb","Feb 2018",18,18.9688997386804,12.8928571428571,19.0144171686396,12.7484252902368
"46",2018-02-15,"2018","Feb","Feb 2018",7,18.9688997386804,12.8928571428571,18.9688997386804,12.8928571428571
"47",2018-02-16,"2018","Feb","Feb 2018",17,18.9688997386804,12.8928571428571,18.918521411599,13.0424334836721
"48",2018-02-17,"2018","Feb","Feb 2018",11,18.9688997386804,12.8928571428571,18.8637315646917,13.1967737780806
"49",2018-02-18,"2018","Feb","Feb 2018",15,18.9688997386804,12.8928571428571,18.8050175046334,13.35548085759
"50",2018-02-19,"2018","Feb","Feb 2018",9,18.9688997386804,12.8928571428571,18.7428665380937,13.5181575537207
"51",2018-02-20,"2018","Feb","Feb 2018",10,18.9688997386804,12.8928571428571,18.6777659717581,13.684406697953
"52",2018-02-21,"2018","Feb","Feb 2018",22,18.9688997386804,12.8928571428571,18.6102031122963,13.8538311218072
"53",2018-02-22,"2018","Feb","Feb 2018",15,18.9688997386804,12.8928571428571,18.5406652663835,14.0260336567903
"54",2018-02-23,"2018","Feb","Feb 2018",19,18.9688997386804,12.8928571428571,18.4696397406946,14.2006171344095
"55",2018-02-24,"2018","Feb","Feb 2018",13,18.9688997386804,12.8928571428571,18.3976138419045,14.3771843861718
"56",2018-02-25,"2018","Feb","Feb 2018",11,18.9688997386804,12.8928571428571,18.3250748766822,14.5553382435991
"57",2018-02-26,"2018","Feb","Feb 2018",11,18.9688997386804,12.8928571428571,18.2525101517147,14.7346815381689
"58",2018-02-27,"2018","Feb","Feb 2018",11,18.9688997386804,12.8928571428571,18.1804069736711,14.914817101403
"59",2018-02-28,"2018","Feb","Feb 2018",17,18.9688997386804,12.8928571428571,18.1092526492263,15.0953477648084
"60",2018-03-01,"2018","Mar","Mar 2018",25,17.4871687533914,17.5806451612903,18.0395344850552,15.2758763598922
"61",2018-03-02,"2018","Mar","Mar 2018",34,17.4871687533914,17.5806451612903,17.9717397878273,15.4560057181764
"62",2018-03-03,"2018","Mar","Mar 2018",41,17.4871687533914,17.5806451612903,17.9063558642289,15.6353386711381
"63",2018-03-04,"2018","Mar","Mar 2018",34,17.4871687533914,17.5806451612903,17.8438700209292,15.8134780502995
"64",2018-03-05,"2018","Mar","Mar 2018",32,17.4871687533914,17.5806451612903,17.7847695646032,15.9900266871675
"65",2018-03-06,"2018","Mar","Mar 2018",17,17.4871687533914,17.5806451612903,17.7295418019259,16.1645874132492
"66",2018-03-07,"2018","Mar","Mar 2018",13,17.4871687533914,17.5806451612903,17.6786740395722,16.3367630600516
"67",2018-03-08,"2018","Mar","Mar 2018",14,17.4871687533914,17.5806451612903,17.6326535842135,16.5061564590959
"68",2018-03-09,"2018","Mar","Mar 2018",21,17.4871687533914,17.5806451612903,17.5919677425325,16.6723704418609
"69",2018-03-10,"2018","Mar","Mar 2018",11,17.4871687533914,17.5806451612903,17.5571038212001,16.8350078398678
"70",2018-03-11,"2018","Mar","Mar 2018",12,17.4871687533914,17.5806451612903,17.5285491268912,16.9936714846237
"71",2018-03-12,"2018","Mar","Mar 2018",13,17.4871687533914,17.5806451612903,17.5067909662809,17.1479642076358
