"","REF_DATE","year","month","monthyear","Observed","MonthlyAve_exp","MonthlyAve_obs","Expected (no ban)","Observed, smooth (ban)"
"1",2018-01-01,"2018","Jan","Jan 2018",246,641.641138012548,520.483870967742,89.5723261082991,490.470313297572
"2",2018-01-02,"2018","Jan","Jan 2018",362,641.641138012548,520.483870967742,140.530062067654,490.528331729995
"3",2018-01-03,"2018","Jan","Jan 2018",381,641.641138012548,520.483870967742,189.593701082713,490.936295891431
"4",2018-01-04,"2018","Jan","Jan 2018",424,641.641138012548,520.483870967742,236.79352703204,491.686942700295
"5",2018-01-05,"2018","Jan","Jan 2018",368,641.641138012548,520.483870967742,282.159823782528,492.773009074802
"6",2018-01-06,"2018","Jan","Jan 2018",380,641.641138012548,520.483870967742,325.722875212894,494.187231933338
"7",2018-01-07,"2018","Jan","Jan 2018",352,641.641138012548,520.483870967742,367.512965197863,495.922348194242
"8",2018-01-08,"2018","Jan","Jan 2018",509,641.641138012548,520.483870967742,407.56037761216,497.971094775853
"9",2018-01-09,"2018","Jan","Jan 2018",455,641.641138012548,520.483870967742,445.895396330507,500.32620859651
"10",2018-01-10,"2018","Jan","Jan 2018",550,641.641138012548,520.483870967742,482.548305230604,502.980426574784
"11",2018-01-11,"2018","Jan","Jan 2018",508,641.641138012548,520.483870967742,517.549388181091,505.926485628574
"12",2018-01-12,"2018","Jan","Jan 2018",592,641.641138012548,520.483870967742,550.928929059805,509.157122676426
"13",2018-01-13,"2018","Jan","Jan 2018",776,641.641138012548,520.483870967742,582.71721174147,512.665074636678
"14",2018-01-14,"2018","Jan","Jan 2018",533,641.641138012548,520.483870967742,612.944520100809,516.443078427671
"15",2018-01-15,"2018","Jan","Jan 2018",615,641.641138012548,520.483870967742,641.641138012548,520.483870967742
"16",2018-01-16,"2018","Jan","Jan 2018",504,641.641138012548,520.483870967742,668.837349353606,524.780189175598
"17",2018-01-17,"2018","Jan","Jan 2018",675,641.641138012548,520.483870967742,694.563437994195,529.324769968863
"18",2018-01-18,"2018","Jan","Jan 2018",516,641.641138012548,520.483870967742,718.849687811359,534.110350266224
"19",2018-01-19,"2018","Jan","Jan 2018",637,641.641138012548,520.483870967742,741.726382679821,539.129666986018
"20",2018-01-20,"2018","Jan","Jan 2018",740,641.641138012548,520.483870967742,763.223806474306,544.375457046585
"21",2018-01-21,"2018","Jan","Jan 2018",521,641.641138012548,520.483870967742,783.372243071155,549.840457366725
"22",2018-01-22,"2018","Jan","Jan 2018",498,641.641138012548,520.483870967742,802.20197634175,555.517404863871
"23",2018-01-23,"2018","Jan","Jan 2018",427,641.641138012548,520.483870967742,819.743290162543,561.399036456806
"24",2018-01-24,"2018","Jan","Jan 2018",710,641.641138012548,520.483870967742,836.026468408259,567.478089063868
"25",2018-01-25,"2018","Jan","Jan 2018",543,641.641138012548,520.483870967742,851.08179495362,573.747299603397
"26",2018-01-26,"2018","Jan","Jan 2018",533,641.641138012548,520.483870967742,864.939553673353,580.199404993731
"27",2018-01-27,"2018","Jan","Jan 2018",636,641.641138012548,520.483870967742,877.630028443185,586.827142153766
"28",2018-01-28,"2018","Jan","Jan 2018",448,641.641138012548,520.483870967742,889.183503135739,593.623248000741
"29",2018-01-29,"2018","Jan","Jan 2018",559,641.641138012548,520.483870967742,899.630261626838,600.580459453537
"30",2018-01-30,"2018","Jan","Jan 2018",456,641.641138012548,520.483870967742,909.000587791207,607.691513430494
"31",2018-01-31,"2018","Jan","Jan 2018",681,641.641138012548,520.483870967742,917.32476550357,614.94914684995
"32",2018-02-01,"2018","Feb","Feb 2018",666,937.242651759796,736.464285714286,924.633078638652,622.346096630244
"33",2018-02-02,"2018","Feb","Feb 2018",715,937.242651759796,736.464285714286,930.955811071661,629.875099690346
"34",2018-02-03,"2018","Feb","Feb 2018",832,937.242651759796,736.464285714286,936.323246676274,637.528892947343
"35",2018-02-04,"2018","Feb","Feb 2018",485,937.242651759796,736.464285714286,940.765669327781,645.300213320194
"36",2018-02-05,"2018","Feb","Feb 2018",519,937.242651759796,736.464285714286,944.313362900906,653.181797727238
"37",2018-02-06,"2018","Feb","Feb 2018",524,937.242651759796,736.464285714286,946.996611270372,661.166383086815
"38",2018-02-07,"2018","Feb","Feb 2018",944,937.242651759796,736.464285714286,948.845698310905,669.246706317262
