VOC,time,start,end,duration,delay,travellers,travellers per day,sublineages,sublineage per day,"sublineage descendants, mean","sublineage descendants, lower","sublineage descendants, upper",singletons,singletons per day,total cases,total cases per day,total Can cases,percent additional,"total Can cases, duration",Percent additional during that period
Alpha,all,2020-12-20,2021-01-06,17,44,724,42.6,12.1 (8.7-15.5),0.7 (0.5-0.9),5682 (5446 - 5917),3849 (3656 - 4042),7132 (6869 - 7396),58.4 (43.8-72.9),3.4 (2.6-4.3),5739.9 (3893.2-7205.3),337.6 (229-423.8),324547,1.8 (1.2-2.2),4260,134.7 (91.4-169.1)
Alpha,period 1,2020-12-20,2020-12-27,7,-,293,41.9,1.9 (1.1-2.7),0.3 (0.2-0.4),485 (420 - 551),485 (420 - 551),991 (895 - 1087),11.3 (7.8-14.7),1.6 (1.1-2.1),496.7 (493.3-1005.4),71 (70.5-143.6),324547,0.2 (0.2-0.3),75,7653.2 (5190.9-9607.1)
Alpha,period 2,2020-12-28,2021-01-06,9,-,431,47.9,9.6 (7.2-12.1),1.1 (0.8-1.3),4292 (4084 - 4499),3384 (3199 - 3569),5682 (5446 - 5917),44.6 (34.2-55.1),5 (3.8-6.1),4336.2 (3417.9-5736.6),481.8 (379.8-637.4),324547,1.3 (1.1-1.8),4185,137.2 (93-172.2)
Beta,all,2020-12-24,2021-02-22,60,5,3,0,5 (0-10),0.1 (0-0.2),1019 (945 - 1093), 0 (0 - 0),2006 (1902 - 2111),1.1 (-4.2-6.4),0 (-0.1-0.1),1019.9 (-4.2-2012.7),17 (-0.07-33.5),12462,8.2 (0-16.2),2836,36 (-0.1-71)
Beta,period 1,2020-12-24,2021-01-21,28,-,5,0.2,8.7 (6.1-11.3),0.3 (0.2-0.4),1645 (1551 - 1739),1228 (1147 - 1310),2214 (2106 - 2322),3.2 (0.5-6), 0.1 (0-0.2),1648.2 (1228.9-2220),58.9 (43.9-79.3),12462,13.2 (9.9-17.8),1387,73.5 (-0.3-145.1)
Beta,period 2,2021-01-22,2021-02-22,31,-,-2,-0.1,-3.9 (-6.2--1.6), -0.1 (-0.2--0.1), 0 (0 - 0), 0 (0 - 0), 0 (0 - 0),0 (0-0),0 (0-0),-2.2 (-4.8-0.3),-0.1 (-0.2-0),12462,0 (0-0),1450,70.3 (-0.3-138.8)
Gamma,period 1,2021-01-15,2021-02-22,38,-,326,8.6,4.3 (2.7-5.9),0.1 (0.1-0.2),7932 (7368 - 8495),4081 (3692 - 4470),9839 (9224 - 10455),3.7 (-15-22.4),0.1 (-0.4-0.6),7935.4 (4066.2-9861.6),208.8 (107-259.5),107697,7.4 (3.8-9.2),931,852.4 (436.8-1059.2)
Gamma,period 2,2021-03-30,2021-04-14,15,-,58,3.9, -0.7 (-1.6-0.2),0 (-0.1-0),0 (0-0),0 (0-0),0 (0-0),1.8 (-3.4-7.1),0 (-0.1-0.2),1.8 (-3.4-7.1),0 (-0.1-0.2),107697,0 (0-0),23767,0 (0-0)
Delta,all,2021-04-22,2021-09-26,157,47,5148,32.8,195.7 (174.4-217),1.2 (1.1-1.4),25935 (25188 - 26681),23136 (22431 - 23841),29108 (28325 - 29891),-12.5 (-66.8-41.8),-0.1 (-0.4-0.3),25922.3 (23068.8-29149.4),165.1 (146.9-185.7),491733,5.3 (4.7-5.9),200150,13 (11.5-14.6)
Delta,period 1,2021-04-22,2021-06-30,69,-,2288,33.2,129.6 (119.5-139.6),1.9 (1.7-2),17229 (16630 - 17828),15889 (15308 - 16470),18542 (17919 - 19165),141.4 (115.8-167),2 (1.7-2.4),17370.5 (16004.9-18709.1),251.7 (232-271.1),491733,3.5 (1.2-3.8),24663,105.1 (93.5-118.2)
Delta,period 2,2021-07-01,2021-09-26,87,-,2860,32.9,65.4 (54.2-76.6),0.8 (0.6-0.9),8728 (8280 - 9175),7418 (7000 - 7837),10180 (9700 - 10661),-152.8 (-181.2--124.4), -1.8 (-2.1--1.4),8575.1 (7237.1-10055.8),98.6 (83.2-115.6),491733,1.7 (1.4-2.0),175488,14.8 (13.1-16.6)
